날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,60600,62400,60500,61500,1548935,3.709949409780776
2023-01-03,61400,62500,60600,62400,1238318,1.4634146341463417
2023-01-04,61500,62800,61500,62000,1051604,-0.641025641025641
2023-01-05,61900,62200,60800,61100,1591393,-1.4516129032258065
2023-01-06,60500,62100,60100,61500,1687827,0.6546644844517185
2023-01-09,61800,64300,61300,64100,2081818,4.227642276422764
2023-01-10,64100,64400,63100,63900,920688,-0.31201248049922
2023-01-11,64400,64400,63300,64200,947231,0.4694835680751174
2023-01-12,64600,64700,63900,63900,1374463,-0.46728971962616817
2023-01-13,64100,65800,64100,65300,1611359,2.190923317683881
2023-01-16,64300,65000,63500,64600,1202348,-1.0719754977029097
2023-01-17,65200,65500,64700,65000,1127634,0.6191950464396285
2023-01-18,65100,65300,63900,64700,1044133,-0.46153846153846156
2023-01-19,64000,64500,63800,64300,644579,-0.6182380216383307
2023-01-20,64300,64500,64000,64300,574744,0.0
2023-01-25,64900,65400,64800,65000,739046,1.088646967340591
2023-01-26,65400,70000,65400,69300,4288992,6.615384615384616
2023-01-27,69900,70000,67600,68700,3718257,-0.8658008658008658
2023-01-30,69300,70200,68500,68600,2368164,-0.1455604075691412
2023-01-31,69200,69200,66800,66800,1938157,-2.623906705539359
2023-02-01,67700,69600,67400,69500,1858058,4.04191616766467
2023-02-02,69900,70500,69000,69700,1930702,0.28776978417266186
2023-02-03,69900,71600,69700,71200,2211215,2.1520803443328553
2023-02-06,70900,71600,70500,70500,1326873,-0.9831460674157303
2023-02-07,70600,71300,69700,71300,1352790,1.1347517730496455
2023-02-08,71700,71800,70600,71500,1154049,0.2805049088359046
2023-02-09,71400,72200,70900,71700,1074569,0.27972027972027974
2023-02-10,71400,72600,71100,72400,1067878,0.9762900976290098
2023-02-13,72400,73400,72100,73200,1443643,1.1049723756906076
2023-02-14,73500,74300,72900,73500,1151903,0.4098360655737705
2023-02-15,73500,74000,72000,72600,1073567,-1.2244897959183674
2023-02-16,73200,76700,73100,76500,2208024,5.371900826446281
2023-02-17,75600,76800,75500,76400,1121854,-0.130718954248366
2023-02-20,76500,76800,75600,76300,847290,-0.13089005235602094
2023-02-21,76800,76900,75500,76600,800396,0.39318479685452157
2023-02-22,75800,76000,74300,74500,1281613,-2.741514360313316
2023-02-23,74500,77300,74500,76400,1440318,2.5503355704697985
2023-02-24,76300,77000,75200,75300,976800,-1.4397905759162304
2023-02-27,75000,76200,74200,76000,961024,0.9296148738379815
2023-02-28,76200,77200,75300,75300,1666461,-0.9210526315789472
2023-03-02,75700,78500,75700,77800,1916651,3.3200531208499333
2023-03-03,78400,79100,77400,78200,1149778,0.5141388174807198
2023-03-06,78800,79300,77500,78500,1204893,0.3836317135549872
2023-03-07,78500,79000,77600,77600,992331,-1.1464968152866242
2023-03-08,76800,79200,76700,78900,1306974,1.675257731958763
2023-03-09,78900,79700,78100,78100,1315822,-1.0139416983523446
2023-03-10,77300,78500,77300,78000,851372,-0.12804097311139565
2023-03-13,77700,79200,77400,78800,1422962,1.0256410256410255
