날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,75100,76700,75000,75700,1376985,0.9333333333333335
2023-01-03,75600,76300,73100,75600,2719437,-0.13210039630118892
2023-01-04,75400,81900,75200,81000,5154609,7.142857142857142
2023-01-05,83300,83300,80800,81400,3510964,0.49382716049382713
2023-01-06,81400,83600,81100,83100,3687430,2.0884520884520885
2023-01-09,84900,86000,83500,86000,3948670,3.489771359807461
2023-01-10,85500,87200,85000,86500,3105311,0.5813953488372093
2023-01-11,87800,88400,86500,87300,3083961,0.9248554913294799
2023-01-12,88100,88100,85800,86800,3065582,-0.572737686139748
2023-01-13,86800,87500,85400,85700,2058890,-1.2672811059907834
2023-01-16,86000,86500,84900,85800,1512876,0.11668611435239205
2023-01-17,86400,87200,85700,86000,1586136,0.2331002331002331
2023-01-18,86400,86500,84500,85100,1494262,-1.0465116279069768
2023-01-19,84000,85800,84000,85500,1674834,0.4700352526439483
2023-01-20,86300,87800,86100,87600,2386074,2.456140350877193
2023-01-25,92000,92000,90600,91400,3611901,4.337899543378995
2023-01-26,90800,92300,90100,92300,2319962,0.9846827133479212
2023-01-27,91300,92800,90300,91500,2553811,-0.8667388949079089
2023-01-30,91300,91600,90000,90700,2603297,-0.8743169398907104
2023-01-31,90800,90800,86800,88500,5185088,-2.4255788313120177
2023-02-01,91200,91400,88500,91400,3889171,3.2768361581920904
2023-02-02,94900,94900,92700,93400,4350607,2.1881838074398248
2023-02-03,92400,93200,91300,92200,2925123,-1.284796573875803
2023-02-06,91400,92000,89100,89100,2819903,-3.3622559652928414
2023-02-07,88800,91200,88800,90800,2166265,1.9079685746352413
2023-02-08,91700,95000,91600,94900,3964981,4.5154185022026425
2023-02-09,94800,94800,92600,94400,2726568,-0.5268703898840885
2023-02-10,94300,94700,93100,93500,1971090,-0.9533898305084746
2023-02-13,92000,92000,89900,90600,3159031,-3.1016042780748663
2023-02-14,91800,93500,91600,93400,2185525,3.090507726269316
2023-02-15,93800,94200,91200,91700,1801577,-1.8201284796573876
2023-02-16,91900,93400,91600,92900,1812496,1.3086150490730644
2023-02-17,91400,92700,90900,92000,1691509,-0.9687836383207751
2023-02-20,92700,93300,90700,92500,1774617,0.5434782608695652
2023-02-21,92500,92600,90900,91200,1477419,-1.4054054054054055
2023-02-22,89900,90300,88500,89100,2301835,-2.302631578947368
2023-02-23,90000,93700,89600,92700,3659678,4.040404040404041
2023-02-24,93500,94000,91000,91000,2496352,-1.8338727076591153
2023-02-27,90100,90300,89100,90000,1893345,-1.098901098901099
2023-02-28,91000,91000,88700,89400,2082486,-0.6666666666666667
2023-03-02,89400,90300,87500,88100,2744038,-1.45413870246085
2023-03-03,88500,89200,87200,87300,2239958,-0.9080590238365494
2023-03-06,87900,89800,87500,89700,2374415,2.7491408934707904
2023-03-07,89700,90000,88800,88900,1610948,-0.8918617614269788
2023-03-08,87700,87800,86400,86800,2790989,-2.3622047244094486
2023-03-09,87300,87800,85300,85600,3315016,-1.3824884792626728
2023-03-10,83800,84400,83100,83300,3559824,-2.6869158878504673
2023-03-13,83200,84700,82400,84300,2860341,1.2004801920768309
2023-03-14,82600,83000,81100,81100,3359381,-3.795966785290629
2023-03-15,81900,82300,78800,79100,5357314,-2.466091245376079
2023-03-16,76700,80200,76700,79000,4804196,-0.12642225031605564
2023-03-17,81200,84800,81100,84000,6239588,6.329113924050633
2023-03-20,83800,85100,83000,83700,2223378,-0.35714285714285715
2023-03-21,84100,85100,82900,83600,1880231,-0.11947431302270012
2023-03-22,85200,87300,83800,86900,2667268,3.9473684210526314
2023-03-23,85400,88500,85100,88500,3091673,1.8411967779056386
2023-03-24,89100,90700,86700,87300,4670908,-1.3559322033898304
2023-03-27,87500,87800,84700,85500,3211190,-2.0618556701030926
2023-03-28,85300,88700,85200,88400,3180431,3.3918128654970756
2023-03-29,87400,88700,86500,86900,3070422,-1.6968325791855203
2023-03-30,89900,90500,87700,88800,4264354,2.186421173762946
