날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,154000,161000,154000,157000,1132256,3.9735099337748347
2023-01-03,158500,160500,156000,159000,787752,1.2738853503184715
2023-01-04,157500,161000,157500,160500,463444,0.9433962264150944
2023-01-05,161000,161500,158000,159000,577152,-0.9345794392523363
2023-01-06,157500,161500,157500,159500,502420,0.3144654088050315
2023-01-09,161000,164500,160000,164000,614204,2.8213166144200628
2023-01-10,162500,164000,161500,163000,414613,-0.6097560975609756
2023-01-11,163500,165000,163000,164000,367725,0.6134969325153374
2023-01-12,166000,168000,164500,166500,869403,1.524390243902439
2023-01-13,167500,170000,167000,169000,707095,1.5015015015015014
2023-01-16,166500,167500,163500,166500,797353,-1.4792899408284024
2023-01-17,166500,167000,164500,166000,452113,-0.3003003003003003
2023-01-18,166500,166500,162500,164500,499603,-0.9036144578313252
2023-01-19,162000,164000,162000,164000,353522,-0.303951367781155
2023-01-20,163000,164500,163000,164500,296063,0.3048780487804878
2023-01-25,166100,166500,165200,165700,359163,0.729483282674772
2023-01-26,166600,176200,166600,174900,1692960,5.552202776101388
2023-01-27,177000,177600,173300,173900,1174428,-0.5717552887364208
2023-01-30,174400,175700,169400,170000,831088,-2.2426682001150087
2023-01-31,169000,170400,167000,167000,698589,-1.7647058823529411
2023-02-01,169200,171500,168700,170000,599556,1.7964071856287425
2023-02-02,171500,172900,169300,169900,548264,-0.0588235294117647
2023-02-03,170100,174500,169600,172800,770290,1.7068864037669218
2023-02-06,174000,174700,170700,170700,582407,-1.215277777777778
2023-02-07,171000,171200,169500,170500,533337,-0.11716461628588166
2023-02-08,171500,173000,170200,172700,442701,1.2903225806451613
2023-02-09,171900,174000,171500,172600,583923,-0.05790387955993051
2023-02-10,171600,173500,171100,173400,372830,0.4634994206257242
2023-02-13,172700,174300,171300,171600,373651,-1.0380622837370241
2023-02-14,172900,175700,172700,173700,502938,1.2237762237762237
2023-02-15,174600,175300,171800,172700,451687,-0.5757052389176741
2023-02-16,173400,180000,173300,179300,1070527,3.821656050955414
2023-02-17,177400,179800,177000,179000,457976,-0.16731734523145567
2023-02-20,179400,179400,176600,178200,404747,-0.44692737430167595
2023-02-21,178500,179000,175500,178200,454862,0.0
2023-02-22,175800,176900,174000,174200,432567,-2.244668911335578
2023-02-23,174400,178600,174300,176200,446435,1.1481056257175661
2023-02-24,176200,177300,173800,173900,382070,-1.3053348467650396
2023-02-27,173100,173600,170200,173300,427027,-0.3450258769407705
2023-02-28,174100,178100,174000,176300,824763,1.7311021350259663
2023-03-02,176500,179800,176500,178500,747929,1.2478729438457177
2023-03-03,177500,178200,175000,176100,549203,-1.3445378151260505
2023-03-06,177800,178500,176000,177500,547005,0.7950028392958546
2023-03-07,176500,177500,175100,175100,462996,-1.352112676056338
2023-03-08,174300,176100,174100,174900,497195,-0.1142204454597373
2023-03-09,176600,180400,175700,176300,808110,0.8004574042309892
2023-03-10,174700,176700,174600,175000,443221,-0.737379466817924
2023-03-13,174400,176300,173500,176000,529759,0.5714285714285714
2023-03-14,175200,175900,170500,171000,589581,-2.840909090909091
2023-03-15,172700,175500,172700,174300,481716,1.9298245614035088
2023-03-16,172800,174800,171800,174000,392030,-0.17211703958691912
2023-03-17,175200,176600,173200,176600,507745,1.4942528735632183
2023-03-20,176500,177000,174800,175100,366357,-0.8493771234428085
2023-03-21,175900,176900,174800,175800,297779,0.3997715591090805
2023-03-22,177000,180500,176700,180300,718542,2.5597269624573378
2023-03-23,179300,182400,178700,180500,591091,0.11092623405435387
2023-03-24,180600,180600,175300,177700,649952,-1.551246537396122
2023-03-27,177700,177700,174800,176100,402749,-0.9003939223410242
2023-03-28,177100,178300,175800,177100,341408,0.5678591709256104
2023-03-29,175800,180700,175800,180400,571771,1.8633540372670807
2023-03-30,179200,181900,178800,181200,525981,0.4434589800443459
2023-03-31,182000,184900,181900,184500,668373,1.8211920529801324
2023-04-03,184600,185500,182300,183600,534323,-0.4878048780487805
2023-04-04,184000,186500,183300,183800,510739,0.10893246187363835
2023-04-05,185100,187200,184000,186700,509578,1.5778019586507073
2023-04-06,186900,189400,184700,185100,667512,-0.8569898232458489
2023-04-07,185400,186500,184600,185100,435717,0.0
2023-04-10,186000,188500,184200,185900,480371,0.4321988114532685
2023-04-11,186600,192400,185100,192100,1067237,3.335126412049489
2023-04-12,195000,199500,194600,198200,1517626,3.1754294638209264
2023-04-13,199000,199900,196200,198900,824006,0.35317860746720486
2023-04-14,199500,199700,196000,196100,670548,-1.4077425842131726
2023-04-17,195400,196100,193800,195000,497443,-0.5609382967873533
2023-04-18,192700,193000,188200,191400,961739,-1.8461538461538463
2023-04-19,191400,194200,190300,193600,571094,1.1494252873563218
2023-04-20,193000,194100,191400,192500,423616,-0.5681818181818182
2023-04-21,191100,191800,188300,190400,454248,-1.090909090909091
2023-04-24,190600,193100,190600,191900,434584,0.7878151260504201
2023-04-25,193000,201500,191200,201000,2084924,4.74205315268369
2023-04-26,205500,207500,199900,201500,2214068,0.24875621890547264
2023-04-27,201500,205000,200500,202000,976414,0.24813895781637718
2023-04-28,203000,203500,196200,197500,1056770,-2.2277227722772275
2023-05-02,198500,202000,197700,201500,573959,2.0253164556962027
2023-05-03,200500,202000,198500,201000,460771,-0.24813895781637718
2023-05-04,200000,201000,197400,199200,472704,-0.8955223880597015
2023-05-08,201000,203000,200000,202500,590557,1.6566265060240966
2023-05-09,202000,205500,199900,205000,704155,1.2345679012345678
2023-05-10,206000,211000,205000,210000,1476327,2.4390243902439024
2023-05-11,211500,211500,208000,208000,919476,-0.9523809523809524
2023-05-12,207000,209500,205500,208500,539737,0.2403846153846154
2023-05-15,207000,209000,204000,208000,594282,-0.2398081534772182
2023-05-16,206500,207500,201000,202500,874247,-2.644230769230769
2023-05-17,202500,205500,202500,204500,550297,0.9876543209876543
2023-05-18,207000,207000,205000,206500,476896,0.9779951100244498
2023-05-19,206000,207500,204000,205500,528680,-0.48426150121065376
2023-05-22,206000,208500,204500,207500,469209,0.9732360097323601
2023-05-23,209000,209000,207000,207500,356438,0.0
2023-05-24,206000,208000,205500,207500,305061,0.0
2023-05-25,206000,206500,203000,203500,528730,-1.9277108433734942
2023-05-26,204500,205500,201000,205500,596247,0.9828009828009828
2023-05-30,207000,207000,200000,200500,861994,-2.4330900243309004
2023-05-31,200500,203000,200000,200000,879887,-0.24937655860349126
2023-06-01,199800,199800,196300,197500,791585,-1.25
2023-06-02,198500,199800,198100,199500,418613,1.0126582278481013
2023-06-05,201500,203500,200000,201000,454150,0.7518796992481203
2023-06-07,202500,203000,195400,196400,960900,-2.288557213930348
2023-06-08,195500,197200,194000,196700,928559,0.15274949083503053
2023-06-09,197400,198300,196300,197100,421616,0.20335536349771224
2023-06-12,197500,198500,195100,196200,429448,-0.45662100456621
2023-06-13,196700,198200,196200,198000,474628,0.9174311926605505
2023-06-14,198800,201500,198500,201000,662184,1.5151515151515151
2023-06-15,201500,202000,199400,199700,354685,-0.6467661691542288
2023-06-16,201000,201500,198000,199400,548562,-0.15022533800701052
2023-06-19,198000,199400,197000,199300,375749,-0.05015045135406219
2023-06-20,198300,199000,197000,197900,331277,-0.7024586051179127
2023-06-21,197900,205000,196300,204000,1028131,3.0823648307225873
2023-06-22,202500,203500,200500,202000,392056,-0.9803921568627451
2023-06-23,201000,202000,199000,199900,349362,-1.0396039603960396
2023-06-26,199900,202500,199900,200500,307090,0.3001500750375188
2023-06-27,201000,206000,201000,206000,806971,2.7431421446384037
2023-06-28,206000,206500,203000,206000,630872,0.0
2023-06-29,205500,206000,204000,204500,320058,-0.7281553398058253
2023-06-30,204500,209000,204500,206500,563079,0.9779951100244498
2023-07-03,207500,208500,205500,208500,545516,0.9685230024213075
2023-07-04,208500,210000,206500,208000,424908,-0.2398081534772182
2023-07-05,208000,209500,204500,205500,586067,-1.201923076923077
2023-07-06,204000,208500,204000,206500,643771,0.48661800486618007
2023-07-07,205500,206000,202500,204000,476427,-1.2106537530266344
2023-07-10,205000,208000,202000,205500,511222,0.7352941176470588
2023-07-11,206500,208000,205000,207000,538193,0.7299270072992701
2023-07-12,206000,206500,202500,203500,503118,-1.6908212560386473
2023-07-13,205000,205000,203000,203500,540814,0.0
2023-07-14,204500,209000,204500,208500,655619,2.457002457002457
2023-07-17,207000,208500,203500,203500,517107,-2.3980815347721824
2023-07-18,204000,205000,201000,201500,501091,-0.9828009828009828
2023-07-19,201500,203500,200000,202000,491509,0.24813895781637718
2023-07-20,202000,204000,200000,200500,531811,-0.7425742574257426
2023-07-21,199700,201000,198200,200000,508793,-0.24937655860349126
2023-07-24,199100,200500,197600,199200,614300,-0.4
2023-07-25,199900,202500,199200,200500,492019,0.6526104417670683
2023-07-26,201000,202000,195000,198700,1347123,-0.8977556109725686
2023-07-27,202500,203000,194000,197800,1244827,-0.45294413688978363
2023-07-28,196500,201500,196500,196800,782058,-0.5055611729019212
2023-07-31,198000,198200,195100,196000,678535,-0.40650406504065045
2023-08-01,195200,199600,194600,199400,698965,1.7346938775510203
2023-08-02,197800,198800,192400,192500,917045,-3.460381143430291
2023-08-03,192500,194300,190800,191700,531818,-0.4155844155844156
2023-08-04,191600,193400,190500,192200,378998,0.2608242044861763
2023-08-07,191000,191100,187300,188000,842043,-2.18522372528616
2023-08-08,188000,190500,187700,188400,557129,0.2127659574468085
2023-08-09,188400,189800,187500,189400,366474,0.5307855626326964
2023-08-10,189000,190300,188100,188400,489856,-0.5279831045406547
2023-08-11,188900,193200,188400,190500,529916,1.1146496815286624
2023-08-14,190000,190500,188300,188800,297138,-0.8923884514435696
2023-08-16,186900,188100,185300,185800,563291,-1.5889830508474576
2023-08-17,184900,185500,182600,184800,458036,-0.5382131324004306
2023-08-18,182600,187500,182600,186100,420787,0.7034632034632035
2023-08-21,187000,187200,185300,186100,279766,0.0
2023-08-22,186200,187900,186200,187900,297596,0.967221923696937
2023-08-23,186500,188700,186000,187500,252159,-0.21287919105907396
2023-08-24,188300,189300,186000,186400,320108,-0.5866666666666667
2023-08-25,184200,187000,184200,186200,368503,-0.1072961373390558
2023-08-28,186200,186900,184700,185400,300125,-0.4296455424274973
2023-08-29,185500,188200,185400,186700,321448,0.7011866235167207
2023-08-30,188600,189300,187800,187800,331121,0.5891805034815212
2023-08-31,187800,189100,186200,189100,590270,0.6922257720979765
2023-09-01,188000,188900,186700,187400,281460,-0.8989952406134322
2023-09-04,186400,187400,185600,187300,307475,-0.05336179295624333
2023-09-05,186500,186900,185600,186600,290618,-0.37373198077949815
2023-09-06,186000,188300,186000,186700,259552,0.05359056806002144
2023-09-07,185500,187200,185400,187200,299030,0.2678093197643278
2023-09-08,187500,187500,185200,185700,192047,-0.8012820512820512
2023-09-11,185700,186300,184400,185500,195283,-0.10770059235325795
2023-09-12,186500,188400,185600,186200,273908,0.37735849056603776
2023-09-13,187300,190700,187200,189800,579550,1.933404940923738
2023-09-14,191200,191200,188600,190700,627998,0.4741833508956797
2023-09-15,190700,192700,189100,192200,526604,0.7865757734661771
2023-09-18,191200,192200,190200,191000,289943,-0.6243496357960457
2023-09-19,191500,193200,190000,190000,289352,-0.5235602094240838
2023-09-20,190600,196000,190000,194900,636780,2.5789473684210527
2023-09-21,194400,194500,191600,191900,327599,-1.539250897896357
2023-09-22,189600,192400,189200,191500,326229,-0.20844189682126105
2023-09-25,191700,193500,189600,192900,346374,0.7310704960835509
2023-09-26,191600,192900,189900,190700,302642,-1.1404872991187145
2023-09-27,189200,192400,189000,191100,367983,0.2097535395909806
2023-10-04,188000,193200,187100,190800,641075,-0.15698587127158556
2023-10-05,190900,192200,189500,190500,396264,-0.15723270440251574
2023-10-06,191000,192600,189600,192200,345787,0.8923884514435696
2023-10-10,192700,192800,187700,188400,575373,-1.9771071800208115
