날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,277000,279000,271500,272000,360653,-1.62748643761302
2023-01-03,271500,274000,265500,272000,359010,0.0
2023-01-04,268500,276000,268000,274500,218258,0.9191176470588236
2023-01-05,276500,282000,274000,278500,327195,1.4571948998178506
2023-01-06,278500,287500,278500,286000,390204,2.6929982046678633
2023-01-09,289500,290000,286500,289000,267873,1.048951048951049
2023-01-10,289000,291500,287500,291000,311729,0.6920415224913495
2023-01-11,293000,293500,290500,292000,301818,0.3436426116838488
2023-01-12,293500,295000,291000,291000,325084,-0.3424657534246575
2023-01-13,294000,305000,293500,305000,762472,4.810996563573884
2023-01-16,306000,313000,302500,311000,547935,1.9672131147540985
2023-01-17,310500,314000,305000,305500,333407,-1.7684887459807075
2023-01-18,304500,306000,298000,300000,413955,-1.800327332242226
2023-01-19,297500,303500,297000,300500,230209,0.16666666666666669
2023-01-20,300500,309500,300500,308500,280284,2.6622296173044924
2023-01-25,312000,312500,302000,303000,384315,-1.7828200972447326
2023-01-26,303500,314500,301500,314000,538052,3.6303630363036308
2023-01-27,314000,314000,309000,311500,329254,-0.7961783439490446
2023-01-30,310000,315000,302500,303500,578986,-2.568218298555377
2023-01-31,307500,308000,300000,300500,507244,-0.9884678747940692
2023-02-01,302000,304500,300500,303500,333222,0.9983361064891847
2023-02-02,307000,309000,302000,303500,392097,0.0
2023-02-03,302000,305000,298000,303000,365227,-0.16474464579901155
2023-02-06,300000,303000,298000,298000,389270,-1.65016501650165
2023-02-07,297000,299500,293500,298500,424378,0.16778523489932887
2023-02-08,300000,305000,298000,298000,419661,-0.16750418760469013
2023-02-09,297500,307500,295000,306000,530381,2.684563758389262
2023-02-10,306500,306500,299000,300000,443512,-1.9607843137254901
2023-02-13,298500,304500,297000,304500,361539,1.5
2023-02-14,306500,313000,304500,307000,495815,0.8210180623973727
2023-02-15,309500,329000,308500,325500,1356822,6.026058631921824
2023-02-16,329000,329500,323000,329000,810231,1.0752688172043012
2023-02-17,325500,346000,325000,334000,1279962,1.5197568389057752
2023-02-20,341000,349500,338000,346000,1075480,3.592814371257485
2023-02-21,347000,348500,339000,346000,717022,0.0
2023-02-22,339000,341500,329000,332000,974061,-4.046242774566474
2023-02-23,333000,336000,325000,331500,618887,-0.15060240963855423
2023-02-24,332000,332000,319500,322000,763089,-2.865761689291101
2023-02-27,315500,322000,313500,319000,873124,-0.9316770186335404
2023-02-28,322500,324500,315500,318000,1446654,-0.3134796238244514
2023-03-02,325500,344000,325000,337000,1333108,5.9748427672955975
2023-03-03,339500,341000,329500,332000,797958,-1.483679525222552
2023-03-06,334000,335000,321000,329500,1270453,-0.7530120481927711
2023-03-07,330500,344500,330000,335000,1022487,1.669195751138088
2023-03-08,332500,332500,326500,329000,612776,-1.791044776119403
2023-03-09,330500,333500,321500,322500,686362,-1.9756838905775076
2023-03-10,316000,324500,314500,320500,386284,-0.6201550387596899
2023-03-13,318000,328000,315500,327000,585821,2.02808112324493
2023-03-14,324500,324500,316000,316000,599657,-3.3639143730886847
2023-03-15,323500,329500,320000,326500,626558,3.322784810126582
2023-03-16,319500,327000,317000,323000,662637,-1.0719754977029097
2023-03-17,329000,332500,320500,321000,688227,-0.6191950464396285
