날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,131000,134500,130500,132500,181892,1.532567049808429
2023-01-03,133000,140500,131000,139500,545196,5.283018867924529
2023-01-04,138000,144500,138000,143500,764740,2.867383512544803
2023-01-05,144000,147000,144000,145000,695153,1.0452961672473868
2023-01-06,144000,145500,141500,143500,316282,-1.0344827586206897
2023-01-09,145000,148500,144000,146000,505120,1.7421602787456445
2023-01-10,146500,148000,145000,146500,348819,0.3424657534246575
2023-01-11,147000,147500,142500,145000,419017,-1.023890784982935
2023-01-12,146000,146000,143000,144500,404898,-0.3448275862068966
2023-01-13,145000,145500,143000,144000,328235,-0.34602076124567477
2023-01-16,145000,149000,144000,149000,606486,3.4722222222222223
2023-01-17,149500,151000,147000,148500,486157,-0.33557046979865773
2023-01-18,149500,152000,147000,152000,395171,2.356902356902357
2023-01-19,150000,152500,149500,152000,413935,0.0
2023-01-20,151500,151500,147000,148000,481635,-2.631578947368421
2023-01-25,150000,151500,148000,150800,317610,1.891891891891892
2023-01-26,149900,150500,145400,147000,721390,-2.519893899204244
2023-01-27,148100,151000,147500,149900,490367,1.9727891156462583
2023-01-30,149300,149300,144600,144700,489086,-3.468979319546364
2023-01-31,144200,145600,142500,142700,436293,-1.38217000691085
2023-02-01,143600,144400,141600,144400,322685,1.1913104414856344
2023-02-02,146100,150400,146100,149300,588283,3.393351800554017
2023-02-03,148400,149600,148000,148900,321144,-0.26791694574681846
2023-02-06,147400,148500,145600,146000,508341,-1.9476158495634655
2023-02-07,145500,146800,144500,145800,301825,-0.136986301369863
2023-02-08,147100,149900,147100,148600,349583,1.9204389574759946
2023-02-09,147700,148300,146600,147600,282966,-0.6729475100942126
2023-02-10,146600,147700,146500,146900,211242,-0.47425474254742545
2023-02-13,146200,146200,143700,144600,401782,-1.5656909462219197
2023-02-14,145400,146900,144200,144900,236461,0.2074688796680498
2023-02-15,145100,145400,142600,143000,303037,-1.3112491373360937
2023-02-16,145300,151700,144300,151400,719362,5.874125874125874
2023-02-17,149400,151100,149000,150000,283256,-0.9247027741083224
2023-02-20,150100,153900,148600,152700,427870,1.7999999999999998
2023-02-21,152700,152800,148900,149800,312790,-1.899148657498363
2023-02-22,147900,148000,145500,146700,288782,-2.069425901201602
2023-02-23,147400,150900,147400,150500,326240,2.590320381731425
2023-02-24,149900,150800,146900,147500,283292,-1.9933554817275747
2023-02-27,147500,148000,145800,146900,199159,-0.4067796610169492
2023-02-28,147200,147900,144000,144000,469574,-1.9741320626276377
2023-03-02,144100,147000,144100,144500,244534,0.3472222222222222
2023-03-03,145100,147200,144500,146900,233075,1.6608996539792389
2023-03-06,147500,153000,145900,152900,646136,4.084411164057182
2023-03-07,152300,152700,149600,151400,322609,-0.9810333551340745
2023-03-08,149200,152500,149100,152000,302634,0.3963011889035667
2023-03-09,154000,155300,151300,152700,451139,0.4605263157894736
2023-03-10,149500,150700,146500,148500,489215,-2.75049115913556
2023-03-13,147500,152900,147200,152900,440818,2.9629629629629632
2023-03-14,151100,153200,149900,149900,426653,-1.962066710268149
2023-03-15,151000,151100,148400,149700,328422,-0.13342228152101399
2023-03-16,148200,151400,147600,150500,247046,0.5344021376085505
2023-03-17,151000,154500,151000,153000,460129,1.6611295681063125
2023-03-20,152400,152800,150000,150300,192686,-1.7647058823529411
2023-03-21,151500,152100,149000,150200,196332,-0.0665335994677312
2023-03-22,151100,151300,148900,150600,277615,0.2663115845539281
2023-03-23,149200,152700,149200,151500,312439,0.5976095617529881
2023-03-24,151900,155200,150000,154900,641955,2.2442244224422443
2023-03-27,156500,156600,153700,154900,375798,0.0
2023-03-28,155100,155900,153100,155400,283010,0.32278889606197547
2023-03-29,155400,155800,152800,154500,221314,-0.5791505791505791
