날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,563000,563000,536000,539000,63376,-4.432624113475177
2023-01-03,535000,539000,520000,526000,66752,-2.411873840445269
2023-01-04,522000,531000,520000,522000,47819,-0.7604562737642585
2023-01-05,521000,523000,505000,518000,83237,-0.7662835249042145
2023-01-06,512000,531000,512000,522000,63028,0.7722007722007722
2023-01-09,524000,548000,523000,546000,50171,4.597701149425287
2023-01-10,547000,552000,539000,547000,35360,0.18315018315018314
2023-01-11,547000,548000,537000,547000,38360,0.0
2023-01-12,550000,561000,549000,550000,53804,0.5484460694698354
2023-01-13,557000,569000,555000,559000,48241,1.6363636363636365
2023-01-16,560000,563000,555000,559000,25805,0.0
2023-01-17,557000,557000,547000,550000,32033,-1.6100178890876566
2023-01-18,547000,556000,545000,547000,22074,-0.5454545454545455
2023-01-19,547000,562000,544000,555000,42747,1.4625228519195612
2023-01-20,555000,566000,554000,566000,28155,1.981981981981982
2023-01-25,566000,571000,562000,564000,26596,-0.35335689045936397
2023-01-26,565000,574000,561000,573000,30583,1.5957446808510638
2023-01-27,572000,576000,566000,570000,31584,-0.5235602094240838
2023-01-30,569000,574000,562000,564000,39673,-1.0526315789473684
2023-01-31,564000,564000,540000,541000,74805,-4.078014184397164
2023-02-01,543000,550000,539000,550000,48584,1.6635859519408502
2023-02-02,553000,558000,542000,544000,35496,-1.090909090909091
2023-02-03,542000,544000,528000,537000,89837,-1.2867647058823528
2023-02-06,537000,545000,532000,533000,47154,-0.74487895716946
2023-02-07,533000,535000,528000,531000,44967,-0.37523452157598497
2023-02-08,532000,538000,532000,536000,27051,0.9416195856873822
2023-02-09,536000,543000,535000,535000,39178,-0.18656716417910446
2023-02-10,535000,543000,526000,542000,43568,1.3084112149532712
2023-02-13,543000,547000,530000,536000,31726,-1.107011070110701
2023-02-14,542000,542000,535000,538000,22178,0.3731343283582089
2023-02-15,535000,563000,534000,551000,82439,2.41635687732342
2023-02-16,554000,557000,547000,553000,40409,0.3629764065335753
2023-02-17,552000,570000,547000,561000,59557,1.4466546112115732
2023-02-20,568000,582000,561000,579000,85040,3.2085561497326207
2023-02-21,581000,614000,579000,610000,142333,5.354058721934369
2023-02-22,604000,618000,593000,609000,129625,-0.16393442622950818
2023-02-23,607000,612000,594000,596000,78527,-2.134646962233169
2023-02-24,596000,601000,586000,588000,49105,-1.342281879194631
2023-02-27,584000,599000,580000,596000,62765,1.3605442176870748
2023-02-28,600000,602000,581000,584000,51415,-2.013422818791946
2023-03-02,584000,598000,583000,592000,59919,1.36986301369863
2023-03-03,599000,601000,586000,591000,36223,-0.16891891891891891
2023-03-06,595000,595000,578000,583000,67570,-1.353637901861252
2023-03-07,583000,592000,579000,586000,43317,0.5145797598627788
2023-03-08,578000,584000,554000,554000,99234,-5.460750853242321
2023-03-09,556000,559000,544000,544000,76774,-1.8050541516245486
2023-03-10,535000,540000,527000,532000,70330,-2.2058823529411766
2023-03-13,529000,547000,527000,545000,61391,2.443609022556391
2023-03-14,543000,547000,531000,534000,43267,-2.0183486238532113
2023-03-15,541000,550000,537000,542000,30106,1.4981273408239701
2023-03-16,537000,540000,529000,535000,30929,-1.2915129151291513
