날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,19350,20100,19300,19350,1221954,-1.0230179028132993
2023-01-03,19200,19500,18700,19050,1628308,-1.550387596899225
2023-01-04,19000,19450,18950,19250,1295311,1.0498687664041995
2023-01-05,19550,20000,19300,19550,1467939,1.5584415584415585
2023-01-06,19350,20000,19200,19900,1304187,1.7902813299232736
2023-01-09,20150,20200,19750,19950,1302463,0.25125628140703515
2023-01-10,19950,20400,19900,20050,1296447,0.5012531328320802
2023-01-11,20250,20400,20150,20350,1037491,1.4962593516209477
2023-01-12,20450,20450,19950,19950,1199938,-1.9656019656019657
2023-01-13,20100,21450,20100,21350,3060978,7.017543859649122
2023-01-16,21400,21700,21050,21400,986614,0.234192037470726
2023-01-17,21400,21700,21200,21550,999484,0.7009345794392523
2023-01-18,21550,21600,21050,21500,855162,-0.23201856148491878
2023-01-19,21150,21550,21150,21350,644071,-0.6976744186046512
2023-01-20,21350,21500,20950,21350,1058066,0.0
2023-01-25,21450,22200,21450,22150,2170717,3.747072599531616
2023-01-26,21950,21950,21450,21800,1545217,-1.580135440180587
2023-01-27,22300,24250,22200,23300,12028994,6.8807339449541285
2023-01-30,23050,23200,22050,22100,3410725,-5.150214592274678
2023-01-31,22100,22350,21750,21750,2179607,-1.583710407239819
2023-02-01,21900,22650,21750,22500,2219428,3.4482758620689653
2023-02-02,22850,22950,22300,22400,1714888,-0.4444444444444444
2023-02-03,22700,22700,22050,22600,1472496,0.8928571428571428
2023-02-06,22600,22600,21850,21850,1366824,-3.3185840707964607
2023-02-07,21750,22050,21650,21950,1143188,0.4576659038901602
2023-02-08,22100,22200,21950,22050,849722,0.45558086560364464
2023-02-09,21850,22000,21700,21700,1136894,-1.5873015873015872
2023-02-10,21750,22150,21400,21950,1216493,1.1520737327188941
2023-02-13,21800,21800,21050,21400,1649974,-2.5056947608200453
2023-02-14,21800,22400,21800,22150,2090855,3.5046728971962615
2023-02-15,22250,22450,21950,22000,1606859,-0.6772009029345373
2023-02-16,22100,22200,21800,22200,1460805,0.9090909090909091
2023-02-17,21950,22450,21800,22150,924786,-0.22522522522522523
2023-02-20,21900,22050,21450,21700,1366186,-2.0316027088036117
2023-02-21,21700,22100,21700,22000,1168170,1.3824884792626728
2023-02-22,21600,22100,21600,21950,1445516,-0.22727272727272727
2023-02-23,22700,23450,22400,22800,5763386,3.8724373576309796
2023-02-24,22900,23400,22850,23050,2347926,1.0964912280701753
2023-02-27,23050,23050,22450,22650,1524681,-1.735357917570499
2023-02-28,22700,23150,22500,22550,1999832,-0.44150110375275936
2023-03-02,22550,22950,22300,22450,1494238,-0.4434589800443459
2023-03-03,22800,22850,22200,22450,1524268,0.0
2023-03-06,22200,22400,21650,22050,1789766,-1.7817371937639197
2023-03-07,22100,22100,21450,21500,1899931,-2.494331065759637
2023-03-08,21300,21300,20800,21100,1881516,-1.8604651162790697
2023-03-09,21200,21250,20600,20600,1480527,-2.3696682464454977
2023-03-10,20250,20650,20150,20650,1105664,0.24271844660194172
2023-03-13,20600,20700,20200,20350,1125095,-1.4527845036319613
2023-03-14,20100,20350,19940,19950,1538381,-1.9656019656019657
2023-03-15,20150,20500,20050,20150,898103,1.0025062656641603
2023-03-16,19970,20450,19910,20300,1110133,0.7444168734491315
2023-03-17,20350,20400,19950,20400,1778167,0.49261083743842365
2023-03-20,20400,20550,20100,20100,770141,-1.4705882352941175
2023-03-21,20250,20650,20250,20400,1007446,1.4925373134328357
2023-03-22,20550,20550,20300,20300,777795,-0.49019607843137253
2023-03-23,20300,20400,20050,20150,1005449,-0.7389162561576355
2023-03-24,20150,20200,19990,20200,1011106,0.24813895781637718
2023-03-27,20200,20250,19700,19740,1355214,-2.277227722772277
2023-03-28,19810,20100,19800,20050,877604,1.5704154002026343
2023-03-29,20100,20200,19860,19910,892056,-0.6982543640897756
2023-03-30,20000,20150,19760,20000,1202765,0.45203415369161226
2023-03-31,20050,20650,19940,20350,1684387,1.7500000000000002
2023-04-03,20400,20400,19960,20000,1325238,-1.71990171990172
2023-04-04,20050,20100,19980,20100,765937,0.5
2023-04-05,20150,20350,20050,20100,976321,0.0
