날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,201000,206500,201000,202500,148736,0.997506234413965
2023-01-03,201500,205500,197500,202000,201008,-0.24691358024691357
2023-01-04,201500,205500,200000,203000,159891,0.49504950495049505
2023-01-05,202000,209000,202000,207000,207296,1.9704433497536946
2023-01-06,204000,216500,204000,214000,313496,3.3816425120772946
2023-01-09,217500,218000,213500,216500,210384,1.1682242990654206
2023-01-10,217000,219000,216000,217500,194802,0.4618937644341801
2023-01-11,218500,221000,215000,217500,217774,0.0
2023-01-12,218000,219500,213500,213500,265267,-1.839080459770115
2023-01-13,213500,218500,213500,216500,191835,1.405152224824356
2023-01-16,217000,217500,214000,215000,159178,-0.6928406466512702
2023-01-17,215500,218500,213500,215500,188237,0.23255813953488372
2023-01-18,214500,215500,207500,209000,254893,-3.0162412993039442
2023-01-19,208000,209000,206000,208000,178213,-0.4784688995215311
2023-01-20,207000,210000,207000,209500,130609,0.7211538461538461
2023-01-25,210000,213500,209500,212500,116882,1.431980906921241
2023-01-26,213000,220500,213000,219500,175759,3.294117647058824
2023-01-27,220500,222000,213500,214500,335267,-2.277904328018223
2023-01-30,215500,216500,206000,206500,465685,-3.7296037296037294
2023-01-31,207000,208000,205500,205500,316221,-0.48426150121065376
2023-02-01,206500,208500,205500,208000,245677,1.2165450121654502
2023-02-02,209000,210000,206000,206000,284424,-0.9615384615384616
2023-02-03,206500,210500,205000,208500,270694,1.2135922330097086
2023-02-06,208500,208500,205000,205500,151542,-1.4388489208633095
2023-02-07,207000,208500,205500,206500,219229,0.48661800486618007
2023-02-08,207000,208500,206500,207500,134260,0.48426150121065376
2023-02-09,207000,209500,206500,206500,218180,-0.48192771084337355
2023-02-10,206000,208000,205500,208000,150239,0.7263922518159807
2023-02-13,207500,209500,205000,207500,163679,-0.2403846153846154
2023-02-14,209500,217500,208000,213000,436812,2.6506024096385543
2023-02-15,213500,216000,210500,211500,175771,-0.7042253521126761
2023-02-16,213000,216000,212500,215000,193256,1.6548463356973995
2023-02-17,213500,216000,212500,213000,163978,-0.9302325581395349
2023-02-20,213500,214000,210000,213500,106659,0.2347417840375587
2023-02-21,214000,217000,212000,215000,155284,0.702576112412178
2023-02-22,213000,215500,212000,214000,174133,-0.46511627906976744
2023-02-23,215000,221000,215000,217500,253734,1.6355140186915886
2023-02-24,217500,220500,217000,219000,202078,0.6896551724137931
2023-02-27,216500,217000,210000,214000,176957,-2.28310502283105
2023-02-28,214000,218000,212500,212500,300780,-0.7009345794392523
2023-03-02,213000,219500,213000,217000,286515,2.1176470588235294
2023-03-03,218500,219500,216000,216500,132114,-0.2304147465437788
2023-03-06,218000,220000,216500,219000,189047,1.1547344110854503
2023-03-07,219500,220000,217000,218000,157129,-0.45662100456621
2023-03-08,216000,217000,214000,215500,159118,-1.146788990825688
2023-03-09,216000,222000,215000,220000,343810,2.088167053364269
2023-03-10,217000,218500,215000,216500,140681,-1.5909090909090908
2023-03-13,217000,219500,215500,218500,152414,0.9237875288683602
2023-03-14,216500,217500,211500,213500,173600,-2.2883295194508007
2023-03-15,215500,220500,214000,219000,166384,2.576112412177986
2023-03-16,217000,218500,214000,214500,133922,-2.054794520547945
2023-03-17,216000,219000,215000,217500,169457,1.3986013986013985
2023-03-20,217500,217500,212500,212500,134586,-2.2988505747126435
2023-03-21,214000,216500,213000,215000,122138,1.1764705882352942
2023-03-22,216000,216500,214000,216000,105777,0.46511627906976744
2023-03-23,215000,219500,214500,217500,215428,0.6944444444444444
2023-03-24,216000,216000,210000,210500,231455,-3.218390804597701
2023-03-27,212000,213500,210500,211500,160040,0.4750593824228029
2023-03-28,212000,214000,211000,213500,111625,0.9456264775413712
2023-03-29,214000,215500,213000,215500,137789,0.936768149882904
2023-03-30,213500,215000,211000,213000,210772,-1.160092807424594
2023-03-31,215000,218000,214500,216000,180317,1.4084507042253522
2023-04-03,216500,217000,213000,214000,183488,-0.9259259259259258
2023-04-04,215500,217000,214000,215000,146996,0.46728971962616817
2023-04-05,215500,218500,215000,218000,132562,1.3953488372093024
2023-04-06,218000,219500,215500,216000,176930,-0.9174311926605505
2023-04-07,215500,215500,213000,213500,168018,-1.1574074074074074
2023-04-10,213000,216000,212500,213500,180948,0.0
2023-04-11,213500,221000,212000,221000,379485,3.51288056206089
2023-04-12,224500,233500,223500,232000,648158,4.97737556561086
2023-04-13,230500,232500,227000,231500,288445,-0.21551724137931033
2023-04-14,232000,233500,229000,231000,193161,-0.21598272138228944
2023-04-17,230000,231000,226500,228000,183679,-1.2987012987012987
2023-04-18,228000,229500,223000,225000,222353,-1.3157894736842104
2023-04-19,225000,228500,225000,227000,140122,0.8888888888888888
2023-04-20,227500,230000,225500,228000,195478,0.4405286343612335
2023-04-21,226500,230500,225500,230000,259924,0.8771929824561403
2023-04-24,232000,237500,229500,232000,299770,0.8695652173913043
2023-04-25,234500,239500,231500,237500,473965,2.3706896551724137
2023-04-26,237000,237500,218000,222000,824054,-6.526315789473684
2023-04-27,220000,225000,218500,221500,232525,-0.22522522522522523
2023-04-28,221500,222000,216500,217500,296733,-1.805869074492099
2023-05-02,218500,223000,218000,223000,252610,2.528735632183908
2023-05-03,221500,224000,219500,221000,133544,-0.8968609865470852
2023-05-04,220000,220500,217500,218000,152334,-1.3574660633484164
2023-05-08,219000,223000,219000,221500,140545,1.6055045871559634
2023-05-09,221000,225000,219000,224000,168218,1.1286681715575622
2023-05-10,224000,229000,223500,226500,161476,1.1160714285714286
2023-05-11,228500,230500,226500,230000,207207,1.545253863134658
2023-05-12,228000,229000,224000,225000,169401,-2.1739130434782608
2023-05-15,224500,226000,221500,225000,183199,0.0
2023-05-16,222500,223500,219000,220500,143897,-2.0
2023-05-17,220000,224500,220000,223000,128404,1.1337868480725624
2023-05-18,225000,230000,223500,229000,304794,2.690582959641256
2023-05-19,227000,229000,225000,226500,172196,-1.0917030567685588
2023-05-22,227500,231000,225500,229000,192786,1.1037527593818985
2023-05-23,229500,230500,227000,228500,121656,-0.21834061135371177
2023-05-24,227500,230500,226500,230000,179569,0.6564551422319475
2023-05-25,227500,229000,226000,227000,169977,-1.3043478260869565
2023-05-26,225500,227500,223000,227000,149084,0.0
2023-05-30,228000,228500,223000,223500,170434,-1.5418502202643172
2023-05-31,223500,229000,223000,223000,318428,-0.22371364653243847
2023-06-01,225000,226000,221000,221500,186142,-0.672645739910314
2023-06-02,223000,224500,220000,223000,244575,0.6772009029345373
2023-06-05,224000,228500,224000,227500,157552,2.0179372197309418
2023-06-07,229000,229000,219500,219500,284225,-3.5164835164835164
2023-06-08,221000,221000,218000,220000,267986,0.22779043280182232
2023-06-09,220000,223000,219500,222500,190616,1.1363636363636365
2023-06-12,223000,224000,220500,222000,114388,-0.22471910112359553
2023-06-13,221500,225000,220500,223000,159755,0.45045045045045046
2023-06-14,223000,224000,222000,222500,147897,-0.2242152466367713
2023-06-15,223500,225000,222000,223000,138017,0.22471910112359553
2023-06-16,224000,225000,220500,221500,175890,-0.672645739910314
2023-06-19,221000,223000,219500,222000,116679,0.2257336343115124
2023-06-20,221000,221500,218000,219000,101931,-1.3513513513513513
2023-06-21,219000,222000,217000,222000,163835,1.36986301369863
2023-06-22,221000,222000,220000,222000,93024,0.0
2023-06-23,222000,222000,217000,217000,149523,-2.2522522522522523
2023-06-26,217500,221500,217000,221000,102693,1.8433179723502304
2023-06-27,221000,231500,220500,230000,334329,4.072398190045249
2023-06-28,230000,232500,228000,231000,197070,0.43478260869565216
2023-06-29,228000,230000,226000,226000,135735,-2.1645021645021645
2023-06-30,228500,234500,228500,232500,255746,2.8761061946902653
2023-07-03,233500,234000,230000,232000,181963,-0.21505376344086022
2023-07-04,230500,234000,229000,230500,131340,-0.646551724137931
2023-07-05,232000,233500,230500,232000,153622,0.6507592190889371
2023-07-06,232500,236000,231000,233000,256131,0.43103448275862066
2023-07-07,232000,234000,229000,232500,162036,-0.2145922746781116
2023-07-10,230500,233500,228500,232500,116371,0.0
2023-07-11,234000,234000,231000,234000,109942,0.6451612903225806
2023-07-12,233000,233500,229000,232500,139888,-0.641025641025641
2023-07-13,233000,235500,232000,233000,218859,0.21505376344086022
2023-07-14,236000,248500,235000,248500,595291,6.652360515021459
2023-07-17,248500,250000,243500,244500,224628,-1.6096579476861168
2023-07-18,244500,246000,239000,239000,173698,-2.2494887525562373
