날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,21200,21350,19350,19350,5336322,-11.238532110091743
2023-01-03,19650,20000,19400,19500,1776246,0.7751937984496124
2023-01-04,19350,19650,19050,19550,1143195,0.2564102564102564
2023-01-05,19600,19950,19500,19800,1557419,1.278772378516624
2023-01-06,19800,19850,19400,19500,1431729,-1.5151515151515151
2023-01-09,19550,19700,19300,19600,1884767,0.5128205128205128
2023-01-10,19700,19750,19500,19700,1222691,0.5102040816326531
2023-01-11,19850,20050,19550,19550,1374589,-0.7614213197969544
2023-01-12,19650,20100,19550,19800,2396575,1.278772378516624
2023-01-13,19900,20300,19850,20200,1300151,2.0202020202020203
2023-01-16,20350,20350,19950,20050,1130787,-0.7425742574257426
2023-01-17,20050,20250,19950,20000,894497,-0.24937655860349126
2023-01-18,20100,20150,19850,20150,832230,0.75
2023-01-19,19950,20450,19900,20300,1088932,0.7444168734491315
2023-01-20,20250,20400,20100,20400,666797,0.49261083743842365
2023-01-25,20400,20450,20100,20250,1183398,-0.7352941176470588
2023-01-26,20200,20450,20100,20250,1055502,0.0
2023-01-27,20250,20400,20200,20300,1176756,0.24691358024691357
2023-01-30,20250,20300,20050,20150,925424,-0.7389162561576355
2023-01-31,20150,20250,19840,19840,1518690,-1.5384615384615385
2023-02-01,19860,19950,19600,19660,1830978,-0.9072580645161291
2023-02-02,19710,19780,19460,19490,2042935,-0.8646998982706002
2023-02-03,19490,19560,19300,19360,2075132,-0.6670087224217547
2023-02-06,19390,19490,19140,19200,1387044,-0.8264462809917356
2023-02-07,19200,19260,18990,19080,1500025,-0.625
2023-02-08,19100,19330,19060,19330,1218715,1.3102725366876309
2023-02-09,19330,19370,19150,19210,1207497,-0.6207966890843248
2023-02-10,19140,19250,19010,19150,1059560,-0.31233732431025507
2023-02-13,19060,19310,19050,19300,1038627,0.7832898172323759
2023-02-14,19300,19440,19170,19170,1107422,-0.6735751295336788
2023-02-15,19200,19270,18170,18250,3744893,-4.7991653625456445
2023-02-16,18340,18450,18210,18320,1874488,0.3835616438356164
2023-02-17,18230,18400,18140,18300,1535049,-0.10917030567685589
2023-02-20,18300,18560,18220,18520,984796,1.2021857923497268
2023-02-21,18540,18550,18340,18360,1385465,-0.8639308855291578
2023-02-22,18250,18300,18170,18180,1114599,-0.9803921568627451
2023-02-23,18200,18360,18150,18270,981764,0.49504950495049505
2023-02-24,18230,18430,18170,18360,964964,0.49261083743842365
2023-02-27,18380,18380,17840,18160,1655457,-1.0893246187363834
2023-02-28,18120,18310,18010,18050,1205375,-0.6057268722466961
2023-03-02,17960,18300,17930,17930,1702341,-0.6648199445983379
2023-03-03,17940,18010,17870,17870,896894,-0.33463469046291133
2023-03-06,17870,18150,17810,18020,1146143,0.8393956351426972
2023-03-07,18010,18120,17890,17900,1072578,-0.6659267480577136
2023-03-08,17820,17860,17660,17710,1328446,-1.0614525139664803
2023-03-09,17750,17820,17580,17590,1590751,-0.6775832862789385
2023-03-10,17510,17680,17360,17630,924406,0.22740193291642977
2023-03-13,17490,17600,17390,17510,846690,-0.6806579693703914
2023-03-14,17500,17580,17140,17230,1214928,-1.599086236436322
2023-03-15,17230,17520,17230,17330,1049405,0.5803830528148578
2023-03-16,17200,17360,17170,17300,884355,-0.17311021350259664
2023-03-17,17320,18090,17310,17950,1981922,3.7572254335260116
2023-03-20,18010,18550,18000,18310,1644378,2.0055710306406684
2023-03-21,18280,18280,17810,17830,1304030,-2.6215182960131074
2023-03-22,17870,17930,17730,17760,870686,-0.3925967470555244
2023-03-23,17760,18090,17680,17920,952416,0.9009009009009009
2023-03-24,17820,18140,17770,17940,1059635,0.11160714285714285
2023-03-27,18000,18450,17740,18380,1643311,2.4526198439241917
2023-03-28,18380,18500,18200,18400,1167329,0.1088139281828074
2023-03-29,18410,18860,18410,18670,2242697,1.4673913043478262
2023-03-30,18720,18900,18550,18890,1625623,1.1783610069630424
2023-03-31,18920,19010,17910,18010,4292915,-4.658549497088407
2023-04-03,17920,18150,17860,17890,1251004,-0.6662965019433648
2023-04-04,17890,18050,17870,18030,802843,0.7825600894354388
2023-04-05,18030,18160,18000,18010,863832,-0.11092623405435387
2023-04-06,18050,18280,17980,18130,1306351,0.6662965019433648
2023-04-07,18050,18140,17920,18080,836888,-0.27578599007170435
2023-04-10,18060,18210,17960,18080,889834,0.0
2023-04-11,18200,18370,18080,18210,1149669,0.7190265486725663
2023-04-12,18210,18720,18180,18650,1463897,2.416254805052169
2023-04-13,18550,18740,18410,18510,1471572,-0.7506702412868633
2023-04-14,18500,18930,18500,18730,1299105,1.1885467314964884
2023-04-17,18850,18950,18630,18930,2005187,1.0678056593699947
2023-04-18,18720,18880,18410,18490,1633749,-2.324352879027998
2023-04-19,18510,19150,18500,18720,1866817,1.2439156300703083
2023-04-20,18720,19120,18600,18940,1657599,1.1752136752136753
2023-04-21,18980,19080,18810,19080,1429391,0.7391763463569165
2023-04-24,19020,19080,18600,18630,1065517,-2.358490566037736
2023-04-25,18550,18740,18530,18560,956856,-0.3757380568974772
2023-04-26,18560,18610,18300,18420,1077341,-0.7543103448275862
2023-04-27,18390,18820,18340,18750,1200869,1.7915309446254073
2023-04-28,18610,18810,18560,18680,1136666,-0.37333333333333335
2023-05-02,18780,19160,18780,19060,1621496,2.0342612419700217
2023-05-03,19060,19340,18800,18830,1289941,-1.2067156348373556
2023-05-04,18830,19210,18800,19000,1591873,0.9028146574614976
2023-05-08,19030,19160,18950,19010,1017062,0.05263157894736842
2023-05-09,18950,19270,18870,19240,1220604,1.209889531825355
2023-05-10,19240,19430,19140,19240,1547703,0.0
2023-05-11,19150,19450,18970,19340,1660866,0.5197505197505198
2023-05-12,19410,19840,19090,19700,2842757,1.861427094105481
2023-05-15,19740,19790,19030,19280,2581466,-2.131979695431472
2023-05-16,19120,19230,18650,18680,1844472,-3.112033195020747
2023-05-17,18650,18910,18330,18410,1450421,-1.4453961456102784
2023-05-18,18430,18490,18130,18160,1641486,-1.3579576317218904
2023-05-19,18200,18420,18130,18370,1059285,1.1563876651982379
2023-05-22,18340,18550,18270,18470,838628,0.5443658138268916
2023-05-23,18590,18690,18520,18630,895378,0.8662696264212236
2023-05-24,18590,18630,18500,18570,703516,-0.322061191626409
2023-05-25,18500,18570,18370,18400,837787,-0.9154550350026925
2023-05-26,18330,18600,18310,18470,722115,0.3804347826086957
2023-05-30,18470,18600,18360,18510,828244,0.2165674066053059
2023-05-31,18510,19190,18510,19080,3124543,3.079416531604538
2023-06-01,19290,19820,19150,19390,2860702,1.6247379454926623
2023-06-02,19380,19530,19150,19330,1086226,-0.30943785456420836
2023-06-05,19330,19590,19330,19560,914659,1.189860320744956
2023-06-07,19630,19750,19250,19290,1250630,-1.3803680981595092
2023-06-08,19390,19480,19220,19310,1359731,0.10368066355624676
2023-06-09,19370,19560,19080,19080,1361383,-1.1910926980838943
2023-06-12,19120,19220,18960,18980,674470,-0.5241090146750524
2023-06-13,19080,19080,18900,18990,860795,0.052687038988408846
2023-06-14,18910,18990,18630,18640,1192384,-1.8430753027909426
2023-06-15,18680,18830,18560,18580,979610,-0.3218884120171674
2023-06-16,18700,19060,18700,18830,1289113,1.3455328310010763
2023-06-19,18870,19070,18820,18860,753798,0.15932023366967604
2023-06-20,18840,18960,18700,18750,721418,-0.5832449628844115
2023-06-21,18760,18790,18370,18580,1162813,-0.9066666666666667
2023-06-22,18580,18690,18430,18510,779396,-0.3767491926803014
2023-06-23,18510,18520,18270,18310,712226,-1.0804970286331712
2023-06-26,18340,19080,18340,19080,1504972,4.205352266521026
2023-06-27,19100,20100,19060,19980,4990826,4.716981132075472
2023-06-28,20050,20100,19590,19790,1457571,-0.9509509509509511
2023-06-29,19670,20300,19640,20050,2028187,1.3137948458817585
2023-06-30,20150,20650,19970,20600,2160678,2.7431421446384037
2023-07-03,20550,20700,20000,20650,1602240,0.24271844660194172
2023-07-04,20450,20750,20400,20600,1086300,-0.24213075060532688
2023-07-05,20600,20600,20100,20250,1067559,-1.6990291262135921
2023-07-06,20200,20250,19750,20050,1563897,-0.9876543209876543
2023-07-07,19850,20050,19430,19490,1632376,-2.7930174563591024
2023-07-10,19500,19800,19400,19480,851186,-0.0513083632632119
2023-07-11,19590,19850,19520,19680,1120829,1.0266940451745379
2023-07-12,19700,20200,19700,20000,1221239,1.6260162601626018
2023-07-13,20200,20850,20150,20700,2442703,3.5000000000000004
2023-07-14,20800,20850,20350,20450,1272966,-1.2077294685990339
2023-07-17,20250,20500,19940,19990,930821,-2.249388753056235
2023-07-18,20000,20600,20000,20200,1039854,1.0505252626313157
2023-07-19,20450,20450,20050,20200,945718,0.0
2023-07-20,20150,20500,20050,20300,718821,0.49504950495049505
2023-07-21,20300,20450,19990,20050,809856,-1.2315270935960592
2023-07-24,20000,20000,19400,19440,1566262,-3.0423940149625937
2023-07-25,19440,19650,19350,19390,971347,-0.257201646090535
2023-07-26,19380,19380,18890,19140,1943547,-1.2893243940175347
2023-07-27,19150,19590,18950,19500,1251925,1.8808777429467085
2023-07-28,19300,19430,19100,19380,950709,-0.6153846153846154
