날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,47400,47650,47100,47250,424613,-0.31645569620253167
2023-01-03,47350,47350,46500,46950,503514,-0.6349206349206349
2023-01-04,47050,47650,46750,47350,351019,0.8519701810436635
2023-01-05,47350,47550,46600,47100,877153,-0.5279831045406547
2023-01-06,46900,47800,46900,47600,415726,1.0615711252653928
2023-01-09,47900,47950,47350,47500,834684,-0.21008403361344538
2023-01-10,47550,47550,46850,46900,1071664,-1.263157894736842
2023-01-11,47050,47050,46400,46500,1201973,-0.8528784648187633
2023-01-12,46400,46450,45900,45900,1337358,-1.2903225806451613
2023-01-13,45950,46200,45700,45900,939124,0.0
2023-01-16,46150,46800,46050,46600,915073,1.5250544662309369
2023-01-17,46800,46900,46350,46850,644054,0.5364806866952789
2023-01-18,47100,47450,47050,47250,668135,0.8537886872998933
2023-01-19,47000,47450,46750,47450,437546,0.4232804232804233
2023-01-20,47300,47500,46800,46900,505588,-1.1591148577449948
2023-01-25,47350,47450,46100,46100,1175150,-1.7057569296375266
2023-01-26,46200,46500,46100,46350,1155781,0.5422993492407809
2023-01-27,46400,47950,46250,47850,1199403,3.2362459546925564
2023-01-30,47850,48050,47050,47050,792045,-1.671891327063741
2023-01-31,46700,47400,46600,46600,757930,-0.9564293304994688
2023-02-01,46650,47150,46100,46150,1293853,-0.9656652360515022
2023-02-02,46300,46600,46150,46300,811402,0.3250270855904659
2023-02-03,46350,46600,46050,46350,708779,0.10799136069114472
2023-02-06,46350,46500,46150,46250,1058025,-0.2157497303128371
2023-02-07,46400,46750,46300,46700,988691,0.9729729729729729
2023-02-08,46750,46800,46350,46700,1022527,0.0
2023-02-09,46800,47200,46400,46700,3569972,0.0
2023-02-10,46550,47000,46300,47000,1781358,0.6423982869379015
2023-02-13,47050,47950,47000,47700,1383191,1.4893617021276597
2023-02-14,47900,48050,47650,47700,747841,0.0
2023-02-15,47700,47850,46400,46600,1063313,-2.3060796645702304
2023-02-16,46200,46400,44500,44600,3805017,-4.291845493562231
2023-02-17,44500,44750,43850,44400,1943343,-0.4484304932735426
2023-02-20,44800,45200,44600,44700,986458,0.6756756756756757
2023-02-21,44900,45050,44700,45050,628404,0.7829977628635347
2023-02-22,44800,45250,44700,45100,874266,0.11098779134295228
2023-02-23,45150,45450,44750,44900,849211,-0.4434589800443459
2023-02-24,45000,45450,44800,45100,1079776,0.4454342984409799
2023-02-27,45000,45100,44500,44950,626165,-0.3325942350332594
2023-02-28,44950,45600,44800,45150,705873,0.44493882091212456
2023-03-02,45000,45300,44800,45050,1107445,-0.22148394241417496
2023-03-03,45100,45600,45100,45600,547096,1.2208657047724751
2023-03-06,45550,46450,45400,46250,704072,1.425438596491228
2023-03-07,46250,47550,46250,47450,1306401,2.5945945945945943
2023-03-08,47150,47300,46600,46700,918053,-1.5806111696522658
2023-03-09,46800,47600,46250,47500,1082047,1.7130620985010707
2023-03-10,46900,47150,46400,46600,487796,-1.8947368421052633
2023-03-13,46500,46900,45850,46500,410447,-0.2145922746781116
2023-03-14,46150,47250,46100,46950,847383,0.967741935483871
2023-03-15,46950,47600,46650,47600,487556,1.384451544195953
2023-03-16,47000,47200,46800,47200,519098,-0.8403361344537815
2023-03-17,47400,47450,46850,46850,967455,-0.7415254237288136
2023-03-20,46900,47850,46900,47650,580464,1.7075773745997866
2023-03-21,47800,48800,47800,48800,1063480,2.413431269674711
2023-03-22,48500,48800,48350,48600,504173,-0.4098360655737705
2023-03-23,48500,48550,47500,47800,1012990,-1.646090534979424
2023-03-24,47850,48500,47850,48350,728029,1.1506276150627615
2023-03-27,48750,48750,47900,48400,529653,0.1034126163391934
2023-03-28,48250,48600,48000,48500,533028,0.2066115702479339
2023-03-29,48500,48950,48400,48850,811807,0.7216494845360825
2023-03-30,48200,48250,47500,47800,819479,-2.1494370522006143
2023-03-31,47550,48300,47200,48300,680012,1.0460251046025104
2023-04-03,47750,47800,47400,47550,515414,-1.5527950310559007
2023-04-04,47200,47700,47000,47700,326679,0.31545741324921134
2023-04-05,47950,48300,47800,47950,439605,0.5241090146750524
2023-04-06,48050,48150,47700,47850,472490,-0.20855057351407716
2023-04-07,47800,47850,47500,47600,269327,-0.522466039707419
2023-04-10,47300,47650,47100,47650,527445,0.10504201680672269
2023-04-11,47350,47750,47250,47750,684850,0.2098635886673662
2023-04-12,47800,47900,47550,47800,362947,0.10471204188481677
2023-04-13,47750,48250,47550,48250,482468,0.9414225941422595
2023-04-14,48100,48700,48100,48300,563890,0.10362694300518134
2023-04-17,48300,48300,47800,48150,300242,-0.3105590062111801
2023-04-18,48050,48750,47800,48750,422167,1.2461059190031152
2023-04-19,48750,48950,48450,48550,275693,-0.41025641025641024
2023-04-20,48600,48650,48050,48550,304296,0.0
2023-04-21,48400,48600,48000,48600,324325,0.10298661174047373
2023-04-24,48300,48300,47650,47700,406245,-1.8518518518518516
2023-04-25,47800,48200,47500,47750,646228,0.10482180293501049
2023-04-26,47700,47850,47400,47500,388733,-0.5235602094240838
2023-04-27,47500,47700,47200,47350,350066,-0.3157894736842105
2023-04-28,47350,47850,47250,47700,457308,0.7391763463569165
2023-05-02,47350,48150,47200,48150,391046,0.9433962264150944
2023-05-03,48050,48050,47600,47900,176785,-0.5192107995846313
2023-05-04,47650,48350,47600,48100,348023,0.41753653444676403
2023-05-08,48400,48800,48150,48550,394160,0.9355509355509356
2023-05-09,48300,48950,48250,48600,1035917,0.10298661174047373
2023-05-10,48550,49850,48550,49750,861039,2.366255144032922
2023-05-11,50000,50500,49850,50500,802826,1.507537688442211
2023-05-12,50500,50800,50100,50300,526360,-0.39603960396039606
2023-05-15,50000,50600,49750,50400,426232,0.19880715705765406
2023-05-16,49950,50300,49500,49600,511892,-1.5873015873015872
2023-05-17,49250,49800,49050,49200,452808,-0.8064516129032258
2023-05-18,49200,49850,49200,49800,408429,1.2195121951219512
2023-05-19,50100,50200,49800,49900,430958,0.2008032128514056
2023-05-22,49900,50300,49500,49550,370749,-0.7014028056112225
2023-05-23,49700,50000,49650,49900,306664,0.7063572149344097
2023-05-24,49900,50200,49750,49900,368733,0.0
2023-05-25,49650,49800,49350,49600,265287,-0.6012024048096193
2023-05-26,49400,49850,49300,49600,227529,0.0
2023-05-30,49650,50000,49500,50000,290778,0.8064516129032258
2023-05-31,49950,50300,49700,49700,567700,-0.6
2023-06-01,49900,50100,49200,49250,367807,-0.9054325955734407
2023-06-02,49300,49450,49000,49050,348060,-0.40609137055837563
2023-06-05,49250,49600,49200,49450,371585,0.8154943934760449
2023-06-07,49800,50100,49550,49600,393409,0.3033367037411527
2023-06-08,49600,49950,49500,49500,747598,-0.20161290322580644
