날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,124000,124500,120000,120500,47294,-2.0325203252032518
2023-01-03,120500,122000,117500,120000,77372,-0.4149377593360996
2023-01-04,119500,121000,118500,120000,55973,0.0
2023-01-05,120000,122500,120000,120500,67589,0.4166666666666667
2023-01-06,120000,125500,120000,124000,92889,2.904564315352697
2023-01-09,125000,127000,124500,126500,75250,2.0161290322580645
2023-01-10,126000,127500,124500,124500,72363,-1.5810276679841897
2023-01-11,125000,126000,123500,124000,73882,-0.4016064257028112
2023-01-12,124500,125500,121500,121500,132066,-2.0161290322580645
2023-01-13,122500,126000,122500,124500,105245,2.4691358024691357
2023-01-16,125000,125500,123500,124000,47434,-0.4016064257028112
2023-01-17,124000,124000,122500,123500,54264,-0.4032258064516129
2023-01-18,123000,125000,122500,123500,65455,0.0
2023-01-19,122500,124000,122000,123500,56743,0.0
2023-01-20,122500,124000,122000,122500,63331,-0.8097165991902834
2023-01-25,123200,127400,122600,127200,119988,3.8367346938775513
2023-01-26,127700,127700,126300,127200,90437,0.0
2023-01-27,127400,129300,126300,128500,130097,1.022012578616352
2023-01-30,129100,129200,126400,126700,91839,-1.4007782101167316
2023-01-31,127000,127800,124800,125000,145991,-1.3417521704814523
2023-02-01,125100,126000,124100,125400,90773,0.32
2023-02-02,126300,127100,124500,124600,111924,-0.6379585326953748
2023-02-03,124800,125700,123600,125100,96926,0.40128410914927765
2023-02-06,125400,126400,124400,124900,102363,-0.15987210231814547
2023-02-07,124900,125600,124400,124800,91719,-0.08006405124099279
2023-02-08,125300,132500,125300,132100,282875,5.8493589743589745
2023-02-09,131400,133000,130200,131400,162397,-0.5299015897047691
2023-02-10,130500,131100,126600,127200,164813,-3.1963470319634704
2023-02-13,126100,126200,121100,124000,224550,-2.515723270440252
2023-02-14,124800,128500,124500,128400,143463,3.5483870967741935
2023-02-15,128300,128500,126000,126400,118550,-1.557632398753894
2023-02-16,126400,131800,126400,131000,192659,3.6392405063291138
2023-02-17,128400,131000,128200,128500,81676,-1.9083969465648856
2023-02-20,128600,130800,127800,130000,84873,1.1673151750972763
2023-02-21,130000,130000,128200,129300,71217,-0.5384615384615384
2023-02-22,128000,128300,125500,126600,88903,-2.088167053364269
2023-02-23,126700,127900,126300,127500,73820,0.7109004739336493
2023-02-24,126700,128200,126300,126800,77467,-0.5490196078431373
2023-02-27,125100,126000,124000,124900,69017,-1.498422712933754
2023-02-28,125500,127200,124900,125300,163894,0.32025620496397117
2023-03-02,125000,125800,123800,124600,88291,-0.5586592178770949
2023-03-03,124600,125400,122800,123600,94567,-0.8025682182985553
2023-03-06,124500,125400,123800,125400,103302,1.4563106796116505
2023-03-07,125300,125300,123300,123400,75703,-1.5948963317384368
2023-03-08,122800,123000,121100,121700,122909,-1.3776337115072934
2023-03-09,122000,122500,120600,120900,151187,-0.657354149548069
2023-03-10,120100,120500,119000,119800,74617,-0.9098428453267163
2023-03-13,119500,120500,118600,120100,107410,0.25041736227045075
2023-03-14,119000,119400,116600,117000,119934,-2.5811823480432974
2023-03-15,118000,119100,117200,117700,80453,0.5982905982905984
2023-03-16,117000,118200,116100,117300,78697,-0.33984706881903143
2023-03-17,118200,119800,117300,119200,123197,1.619778346121057
2023-03-20,118900,120700,118900,118900,49480,-0.25167785234899326
2023-03-21,119300,120200,118900,119700,52110,0.6728343145500421
2023-03-22,120200,120300,119100,120000,55483,0.2506265664160401
2023-03-23,120000,120000,118600,119500,81315,-0.4166666666666667
2023-03-24,119400,120700,118600,119900,76803,0.33472803347280333
2023-03-27,120000,120000,118000,118900,78536,-0.8340283569641368
2023-03-28,119000,119800,118300,119400,73507,0.42052144659377627
2023-03-29,119700,121900,119600,121300,95161,1.5912897822445562
2023-03-30,121600,121700,117400,117900,216002,-2.8029678483099754
2023-03-31,115700,119600,115700,116000,2311735,-1.6115351993214586
2023-04-03,117100,118800,116500,117000,275375,0.8620689655172413
2023-04-04,117400,117900,116500,117600,159557,0.5128205128205128
2023-04-05,117200,118300,117000,117700,148432,0.08503401360544217
2023-04-06,117700,117700,115700,115700,178468,-1.6992353440951573
2023-04-07,116000,116600,115300,116100,117978,0.34572169403630076
2023-04-10,115700,116800,115500,116000,131719,-0.08613264427217916
2023-04-11,116100,117700,115800,117000,188434,0.8620689655172413
2023-04-12,117000,117800,116200,117500,162557,0.4273504273504274
2023-04-13,116500,118100,116500,117900,239555,0.3404255319148936
2023-04-14,117800,120000,117500,119600,186704,1.441899915182358
2023-04-17,119300,119300,117200,117900,116114,-1.4214046822742474
