날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,114500,115000,111000,111500,154861,-1.762114537444934
2023-01-03,112000,113000,109500,111000,186068,-0.4484304932735426
2023-01-04,110000,115500,109500,115500,233067,4.054054054054054
2023-01-05,114500,115500,112500,113500,214991,-1.7316017316017316
2023-01-06,112500,116000,112000,114500,156936,0.881057268722467
2023-01-09,115500,119000,115000,118500,261613,3.4934497816593884
2023-01-10,118000,119500,117000,117500,215615,-0.8438818565400843
2023-01-11,117500,118500,116500,117000,159332,-0.425531914893617
2023-01-12,117500,119000,117000,117000,324279,0.0
2023-01-13,117500,119000,117000,118000,233362,0.8547008547008548
2023-01-16,118000,118500,117000,117500,116897,-0.423728813559322
2023-01-17,118000,119500,117000,119000,288637,1.276595744680851
2023-01-18,118500,119500,117000,118500,184872,-0.42016806722689076
2023-01-19,117500,119500,117500,119000,179220,0.42194092827004215
2023-01-20,118500,120000,117500,119500,236088,0.42016806722689076
2023-01-25,119600,120000,118600,118800,121565,-0.5857740585774058
2023-01-26,118600,119700,118300,119700,178326,0.7575757575757576
2023-01-27,119200,121500,119100,120700,278848,0.835421888053467
2023-01-30,120400,121000,118500,118600,215991,-1.739850869925435
2023-01-31,119200,120100,118300,118500,293819,-0.08431703204047217
2023-02-01,118600,120000,118100,118800,220465,0.25316455696202533
2023-02-02,119300,119300,115000,115300,832188,-2.9461279461279464
2023-02-03,115300,115400,113200,114100,501404,-1.0407632263660018
2023-02-06,113600,114900,112700,113700,323091,-0.35056967572305
2023-02-07,113800,114800,113500,113900,226529,0.1759014951627089
2023-02-08,114000,114700,113400,114400,213639,0.4389815627743635
2023-02-09,114000,114600,113500,113500,202857,-0.7867132867132868
2023-02-10,113100,113800,112900,113500,211091,0.0
2023-02-13,112900,113800,112100,113800,223385,0.2643171806167401
2023-02-14,114300,114600,113000,113100,241114,-0.6151142355008787
2023-02-15,113100,113200,111100,111300,250906,-1.5915119363395225
2023-02-16,118000,119000,114800,115500,1284635,3.7735849056603774
2023-02-17,115900,118100,115800,116100,465798,0.5194805194805194
2023-02-20,116500,116700,114800,115300,267229,-0.6890611541774333
2023-02-21,114900,116400,114600,114900,284893,-0.3469210754553339
2023-02-22,114100,114200,112800,113200,297641,-1.4795474325500435
2023-02-23,114100,114100,112700,113100,197712,-0.08833922261484099
2023-02-24,112800,113700,112100,112400,222903,-0.618921308576481
2023-02-27,112000,112100,110600,111400,198689,-0.8896797153024912
2023-02-28,111900,112000,110100,110100,379196,-1.1669658886894074
2023-03-02,110000,111800,110000,110900,224897,0.7266121707538601
2023-03-03,111100,111400,110200,110400,184419,-0.4508566275924256
2023-03-06,110800,112300,110600,112000,262294,1.4492753623188406
2023-03-07,112000,112600,110600,110700,270066,-1.1607142857142858
2023-03-08,110200,111400,110000,111000,265018,0.27100271002710025
2023-03-09,111200,112200,109900,110000,335781,-0.9009009009009009
2023-03-10,109100,109800,108200,109300,192074,-0.6363636363636364
2023-03-13,110000,110300,108400,108900,247331,-0.36596523330283626
2023-03-14,108200,108700,106600,107000,330333,-1.7447199265381086
2023-03-15,107100,108600,107100,107600,177608,0.5607476635514018
2023-03-16,106600,107600,106400,107100,214410,-0.4646840148698885
2023-03-17,107800,110500,107500,109600,285370,2.3342670401493932
2023-03-20,109400,110300,107900,108200,125242,-1.2773722627737227
2023-03-21,108600,109800,108500,108800,124868,0.5545286506469501
2023-03-22,109300,109400,108100,108600,161417,-0.1838235294117647
2023-03-23,108600,108800,107600,108500,245943,-0.09208103130755065
2023-03-24,108100,108600,107400,108200,219934,-0.2764976958525346
2023-03-27,108000,108300,106700,107300,161500,-0.8317929759704251
2023-03-28,107200,108100,107000,108100,188211,0.7455731593662628
2023-03-29,108100,108700,107600,108200,165546,0.09250693802035154
2023-03-30,108500,109300,107700,108500,220621,0.27726432532347506
2023-03-31,109000,110200,108200,108200,244363,-0.2764976958525346
2023-04-03,108200,109100,108100,108200,175895,0.0
2023-04-04,108800,109400,107700,108400,203558,0.18484288354898337
