날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,71500,71700,70000,70400,134894,-0.8450704225352111
2023-01-03,71000,71000,68400,69400,232108,-1.4204545454545454
2023-01-04,69900,71000,68900,70900,216428,2.161383285302594
2023-01-05,69700,71500,69600,71000,231360,0.14104372355430184
2023-01-06,70200,72800,70200,72400,223708,1.971830985915493
2023-01-09,72600,72800,70400,71600,295462,-1.1049723756906076
2023-01-10,71600,72100,70500,71100,341987,-0.6983240223463687
2023-01-11,71300,71400,70400,71000,190445,-0.14064697609001406
2023-01-12,70800,72300,70600,70700,222372,-0.42253521126760557
2023-01-13,71300,72000,70900,71800,263388,1.5558698727015559
2023-01-16,71800,72300,71200,71500,180052,-0.4178272980501393
2023-01-17,71200,71700,70100,71000,208383,-0.6993006993006993
2023-01-18,71100,72000,70500,71700,180310,0.9859154929577465
2023-01-19,71100,72500,71000,72000,165764,0.41841004184100417
2023-01-20,71500,72400,70800,71100,138244,-1.25
2023-01-25,70500,71700,70500,71300,134437,0.2812939521800281
2023-01-26,71000,72300,70800,71300,277116,0.0
2023-01-27,70900,73000,70800,72600,275026,1.8232819074333801
2023-01-30,72100,72500,70800,70900,289044,-2.3415977961432506
2023-01-31,71500,71900,70300,70900,285949,0.0
2023-02-01,70900,72300,70900,71400,300422,0.7052186177715092
2023-02-02,71300,71500,68200,68200,854134,-4.481792717086835
2023-02-03,67900,68000,66700,67200,614694,-1.466275659824047
2023-02-06,66900,67500,66700,66900,298184,-0.4464285714285714
2023-02-07,66500,66900,66400,66600,216850,-0.4484304932735426
2023-02-08,66600,67600,66600,67600,249998,1.5015015015015014
2023-02-09,67100,67600,66800,66900,233288,-1.0355029585798818
2023-02-10,67000,67700,66800,67700,192837,1.195814648729447
2023-02-13,67400,67700,66600,67100,180173,-0.8862629246676514
2023-02-14,67600,67700,66700,67100,141674,0.0
2023-02-15,66900,67400,65700,66800,213249,-0.44709388971684055
2023-02-16,66900,67600,66500,67200,201443,0.5988023952095809
2023-02-17,66600,67700,66300,67000,126782,-0.2976190476190476
2023-02-20,66800,67400,66400,67100,128520,0.1492537313432836
2023-02-21,66800,67200,66500,67200,142697,0.14903129657228018
2023-02-22,67100,67600,66600,67300,250073,0.1488095238095238
2023-02-23,67400,68100,67100,67600,238833,0.44576523031203563
2023-02-24,67100,68200,67100,67800,184840,0.2958579881656805
2023-02-27,67300,68600,66800,67300,210631,-0.7374631268436578
2023-02-28,67200,68200,67200,68100,252762,1.188707280832095
2023-03-02,67500,68200,66800,67400,293059,-1.0279001468428781
2023-03-03,67000,67700,66600,66900,205956,-0.741839762611276
2023-03-06,67200,67400,66400,67300,196069,0.5979073243647235
2023-03-07,67000,67800,66800,67300,159545,0.0
2023-03-08,66600,67200,65900,66400,201867,-1.337295690936107
2023-03-09,66500,67400,66000,66600,280459,0.30120481927710846
2023-03-10,66600,67300,66200,66600,251869,0.0
2023-03-13,67000,67100,65700,66900,175799,0.45045045045045046
2023-03-14,66200,66200,64600,66000,317801,-1.345291479820628
2023-03-15,66100,66400,65500,66000,186641,0.0
2023-03-16,65000,65300,63500,63800,268335,-3.3333333333333335
2023-03-17,64000,64700,63500,64100,281694,0.4702194357366771
2023-03-20,64400,64500,63200,63600,135668,-0.7800312012480499
2023-03-21,63200,64700,63200,64100,159032,0.7861635220125787
2023-03-22,64700,65800,64300,65100,229898,1.5600624024960998
2023-03-23,64300,65300,63500,64000,253327,-1.6897081413210446
2023-03-24,63500,63600,62200,62600,317440,-2.1875
2023-03-27,62700,62800,61600,62400,246266,-0.3194888178913738
2023-03-28,62600,63000,62300,62800,135143,0.641025641025641
2023-03-29,63100,63700,62600,63400,219195,0.9554140127388535
2023-03-30,63000,63300,62200,62600,258666,-1.2618296529968454
2023-03-31,62300,63300,62200,62800,251443,0.3194888178913738
2023-04-03,62400,63000,62100,62400,170636,-0.6369426751592357
2023-04-04,62200,62800,62100,62800,192293,0.641025641025641
2023-04-05,62900,63400,62400,62500,114284,-0.47770700636942676
2023-04-06,62600,62700,61600,61600,166631,-1.44
2023-04-07,61700,62000,61200,61600,111269,0.0
2023-04-10,61400,62200,61300,61500,161008,-0.16233766233766234
2023-04-11,61600,62800,61600,62400,176433,1.4634146341463417
2023-04-12,62200,63900,62200,63900,242065,2.403846153846154
2023-04-13,63400,64100,63300,64100,231270,0.3129890453834116
2023-04-14,64200,65200,64100,64700,247507,0.93603744149766
2023-04-17,64300,64900,64200,64700,128339,0.0
2023-04-18,64100,65000,64000,64600,158106,-0.1545595054095827
2023-04-19,64300,65200,64300,65200,147741,0.9287925696594427
2023-04-20,65000,65800,64800,65800,147172,0.9202453987730062
2023-04-21,65700,66100,65100,66000,184853,0.303951367781155
2023-04-24,66000,66100,64900,65600,135201,-0.6060606060606061
2023-04-25,65600,66200,65000,65700,137327,0.1524390243902439
2023-04-26,65600,65700,64600,65600,162632,-0.15220700152207
2023-04-27,65000,65000,63600,64800,175989,-1.2195121951219512
