날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,179500,180000,176000,179500,438162,1.1267605633802817
2023-01-03,177000,179500,173500,178500,573137,-0.5571030640668524
2023-01-04,177000,183500,177000,182500,792920,2.2408963585434174
2023-01-05,184500,190000,184000,186000,1107483,1.9178082191780823
2023-01-06,185500,187000,182500,185000,741129,-0.5376344086021506
2023-01-09,189500,196500,189000,196500,1115201,6.216216216216217
2023-01-10,193000,196000,190500,193000,839225,-1.7811704834605597
2023-01-11,197500,200500,194500,195000,1030650,1.0362694300518136
2023-01-12,198000,199000,194000,194000,797343,-0.5128205128205128
2023-01-13,196000,200500,195000,195000,869459,0.5154639175257731
2023-01-16,197000,201000,195000,200500,846276,2.8205128205128207
2023-01-17,201000,201000,193500,193500,976576,-3.4912718204488775
2023-01-18,194000,196000,193000,195500,518929,1.03359173126615
2023-01-19,194000,196500,192500,196000,475600,0.2557544757033248
2023-01-20,195500,201000,195000,196000,787881,0.0
2023-01-25,200500,203500,199600,202000,988822,3.061224489795918
2023-01-26,202500,204000,199900,204000,873219,0.9900990099009901
2023-01-27,204500,211500,202000,211500,1212987,3.6764705882352944
2023-01-30,212000,214000,206500,207000,1204050,-2.127659574468085
2023-01-31,206000,208500,202000,202500,1076468,-2.1739130434782608
2023-02-01,204500,208500,202500,205500,860204,1.4814814814814816
2023-02-02,213000,213500,210500,211500,1245591,2.9197080291970803
2023-02-03,214000,225500,210500,223500,3065767,5.673758865248227
2023-02-06,221000,224500,215500,215500,1390741,-3.5794183445190155
2023-02-07,216000,220500,215000,219500,1041746,1.8561484918793503
2023-02-08,224500,232000,224000,230500,1777709,5.0113895216400905
2023-02-09,224500,230500,224000,230000,1575905,-0.21691973969631237
2023-02-10,226000,230500,222000,230000,1412939,0.0
2023-02-13,231000,231000,220500,223000,1308899,-3.0434782608695654
2023-02-14,226500,228500,223000,224000,745937,0.4484304932735426
2023-02-15,224500,224500,215000,215500,1424562,-3.7946428571428568
2023-02-16,218000,222500,218000,220500,959443,2.320185614849188
2023-02-17,216000,219000,212000,215500,904481,-2.2675736961451247
2023-02-20,215500,220000,213500,219000,571053,1.6241299303944314
2023-02-21,220500,220500,215000,215500,646501,-1.5981735159817352
2023-02-22,211500,213500,210500,211500,820639,-1.8561484918793503
2023-02-23,212000,214500,211000,213500,563669,0.9456264775413712
2023-02-24,213500,214000,207000,208000,851405,-2.576112412177986
2023-02-27,204000,209000,204000,208000,930467,0.0
2023-02-28,209500,212000,207500,208500,848323,0.2403846153846154
2023-03-02,207500,209500,205000,206000,817689,-1.1990407673860912
2023-03-03,207500,210500,205500,205500,729689,-0.24271844660194172
2023-03-06,208500,214500,208500,214500,1052243,4.37956204379562
2023-03-07,214000,214500,210500,211000,640146,-1.6317016317016315
2023-03-08,208500,209000,202000,202500,1027023,-4.028436018957346
2023-03-09,204500,206000,202000,202000,760330,-0.24691358024691357
2023-03-10,198000,201000,197800,199800,854741,-1.089108910891089
2023-03-13,199800,203000,194600,202500,1035513,1.3513513513513513
2023-03-14,200000,202000,196000,196000,776395,-3.2098765432098766
2023-03-15,200000,201000,194500,196400,838555,0.20408163265306123
2023-03-16,193600,198400,192100,197100,708127,0.3564154786150713
2023-03-17,201000,202000,197200,198000,778496,0.45662100456621
2023-03-20,198000,204000,198000,201500,602589,1.7676767676767675
2023-03-21,202500,203500,200000,200500,403322,-0.49627791563275436
2023-03-22,203500,207500,203000,207000,655503,3.2418952618453867
2023-03-23,204000,205000,202000,204000,607503,-1.4492753623188406
2023-03-24,204500,204500,200500,202500,599102,-0.7352941176470588
2023-03-27,201500,202000,198200,199300,611569,-1.580246913580247
2023-03-28,199600,201000,197800,199500,586388,0.10035122930255895
