날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,53600,53800,52400,52700,887667,-0.7532956685499058
2023-01-03,52400,53500,51400,53300,1420569,1.1385199240986716
2023-01-04,53200,56000,53100,55700,2241411,4.50281425891182
2023-01-05,55800,58200,55700,57700,3046064,3.5906642728904847
2023-01-06,57200,58000,56500,57200,1420345,-0.8665511265164645
2023-01-09,58700,61200,58300,61100,3482961,6.8181818181818175
2023-01-10,60700,61700,60400,60700,2178323,-0.6546644844517185
2023-01-11,61700,62500,60800,61900,2544430,1.9769357495881383
2023-01-12,63000,63400,61100,61500,2197974,-0.6462035541195477
2023-01-13,62100,63000,61500,62000,2248562,0.8130081300813009
2023-01-16,62300,65000,62000,64500,2989321,4.032258064516129
2023-01-17,64500,64500,61400,61800,3194397,-4.186046511627907
2023-01-18,61500,62500,61100,61600,1650067,-0.3236245954692557
2023-01-19,61100,61400,60200,60800,1687361,-1.2987012987012987
2023-01-20,60500,61900,60500,61200,1376217,0.6578947368421052
2023-01-25,62500,63800,62100,62600,2018473,2.287581699346405
2023-01-26,62800,63700,61700,63700,1658008,1.7571884984025559
2023-01-27,64000,65500,63400,64700,2588030,1.5698587127158554
2023-01-30,64800,65400,63200,63500,1888795,-1.8547140649149922
2023-01-31,62700,63500,61200,61400,2394547,-3.3070866141732282
2023-02-01,62000,62900,61400,62200,1582425,1.3029315960912053
2023-02-02,64400,65200,63700,64500,2936610,3.697749196141479
2023-02-03,64900,67500,64500,67200,5019685,4.186046511627907
2023-02-06,66500,67100,65200,65200,2276799,-2.976190476190476
2023-02-07,65300,68800,64900,68000,3026310,4.294478527607362
2023-02-08,68500,69900,68200,69100,3109216,1.6176470588235297
2023-02-09,67900,71300,67100,70900,3602387,2.6049204052098407
2023-02-10,69200,70200,66300,67600,5370780,-4.65444287729196
2023-02-13,66700,66800,64200,64300,4298565,-4.881656804733728
2023-02-14,65400,66400,64800,65000,2249182,1.088646967340591
2023-02-15,64600,64700,62600,63600,2984239,-2.1538461538461537
2023-02-16,64400,65200,63500,64200,2542941,0.9433962264150944
2023-02-17,63000,64400,62400,63300,1584836,-1.4018691588785046
2023-02-20,63400,64500,62800,64200,1424392,1.4218009478672986
2023-02-21,64500,64700,63000,63100,1644407,-1.7133956386292832
2023-02-22,61900,63000,61500,62200,1904538,-1.4263074484944533
2023-02-23,62600,63200,62200,62500,1217488,0.482315112540193
2023-02-24,62500,62900,61600,61800,1339514,-1.1199999999999999
2023-02-27,61400,62200,61000,61900,1407458,0.16181229773462785
2023-02-28,62000,63400,61900,62400,1870108,0.8077544426494345
2023-03-02,62200,62400,60800,61200,1842975,-1.9230769230769231
2023-03-03,61600,62200,60900,61000,1250945,-0.32679738562091504
2023-03-06,61200,63800,61100,63600,2768767,4.2622950819672125
2023-03-07,63000,63100,61400,61500,2322926,-3.30188679245283
2023-03-08,61200,61200,59000,59100,2935338,-3.902439024390244
2023-03-09,59700,60600,58900,59000,1949722,-0.1692047377326565
2023-03-10,57900,58400,57500,58100,2009728,-1.5254237288135595
2023-03-13,60300,62400,58800,60800,5720123,4.647160068846816
2023-03-14,60600,61100,59200,59400,2192551,-2.302631578947368
2023-03-15,60600,60800,58800,59300,1885060,-0.16835016835016833
2023-03-16,58400,60300,58100,59900,1976894,1.0118043844856661
2023-03-17,60600,61200,59800,60200,1658486,0.5008347245409015
2023-03-20,60200,62000,60200,61000,2051491,1.3289036544850499
2023-03-21,61400,61700,60500,60900,1093952,-0.16393442622950818
2023-03-22,61700,62900,61300,62700,2243729,2.955665024630542
2023-03-23,61800,62000,60800,61600,1685484,-1.7543859649122806
2023-03-24,61600,61900,60900,61400,1323550,-0.3246753246753247
2023-03-27,61500,61800,59800,60700,1490567,-1.1400651465798046
2023-03-28,60600,61000,59900,60700,1326335,0.0
2023-03-29,60800,61400,60100,60400,1144119,-0.4942339373970346
2023-03-30,60800,60900,59900,60100,1707493,-0.49668874172185434
2023-03-31,60600,61200,60000,61100,1745559,1.6638935108153077
2023-04-03,61400,61600,59900,60200,1683150,-1.4729950900163666
2023-04-04,60200,60800,59800,60700,1380518,0.8305647840531563
2023-04-05,60500,61200,60200,60500,1227329,-0.3294892915980231
2023-04-06,60100,60100,58500,58600,2659408,-3.1404958677685952
2023-04-07,58600,59200,58100,58600,1650319,0.0
2023-04-10,58300,58400,57100,58100,2103339,-0.8532423208191127
2023-04-11,58100,60000,57500,59300,2184527,2.0654044750430294
2023-04-12,59200,59300,58500,58700,1486194,-1.0118043844856661
2023-04-13,58500,59600,58400,59500,1591961,1.362862010221465
2023-04-14,60100,61000,59400,60500,2464952,1.680672268907563
2023-04-17,60200,60700,59600,60100,1450046,-0.6611570247933884
2023-04-18,60200,60800,58900,59000,1731564,-1.8302828618968388
2023-04-19,59000,59100,58500,58600,1086274,-0.6779661016949152
2023-04-20,58500,58700,57800,57900,1342600,-1.1945392491467577
2023-04-21,57700,58200,57200,57900,1212125,0.0
2023-04-24,57300,57800,57100,57200,961915,-1.2089810017271159
2023-04-25,57000,57900,55700,56000,1791028,-2.097902097902098
2023-04-26,55600,57200,55600,56500,1452179,0.8928571428571428
2023-04-27,56200,56300,55300,55800,1311670,-1.238938053097345
2023-04-28,56400,59100,56300,58100,3124682,4.121863799283155
2023-05-02,58200,58600,57700,58500,1124552,0.6884681583476765
2023-05-03,58000,58900,57800,58300,1047114,-0.3418803418803419
2023-05-04,57200,57500,56000,57200,2288474,-1.8867924528301887
2023-05-08,57500,58200,57100,57700,1821528,0.8741258741258742
2023-05-09,57800,58700,57300,57500,1412568,-0.34662045060658575
2023-05-10,57100,57300,56300,56500,1364811,-1.7391304347826086
2023-05-11,56400,57100,56000,56000,1190339,-0.8849557522123894
2023-05-12,56200,57200,55600,56600,1236080,1.0714285714285714
2023-05-15,56500,57000,56100,56800,879909,0.35335689045936397
2023-05-16,56700,57400,56000,56100,922948,-1.232394366197183
2023-05-17,55900,58800,55600,57700,2035175,2.8520499108734403
2023-05-18,58200,58400,56800,57200,1112295,-0.8665511265164645
2023-05-19,57400,58200,57200,57900,1375866,1.2237762237762237
2023-05-22,57900,58100,57600,57900,985462,0.0
2023-05-23,58100,58200,57600,58000,1015317,0.17271157167530224
2023-05-24,57500,57600,56700,56800,1258754,-2.0689655172413794
2023-05-25,56600,57000,56300,56700,1177829,-0.17605633802816903
2023-05-26,56400,57000,56400,56600,709988,-0.1763668430335097
2023-05-30,57000,57100,56400,56800,1155964,0.35335689045936397
2023-05-31,56500,56900,56100,56200,1992398,-1.056338028169014
2023-06-01,56300,56600,56000,56100,1004709,-0.1779359430604982
2023-06-02,56300,57500,56000,57200,1677624,1.9607843137254901
2023-06-05,57600,57900,57000,57100,1035494,-0.17482517482517482
2023-06-07,57700,58000,57300,57400,1012086,0.5253940455341506
2023-06-08,57000,57000,56300,56500,1734613,-1.5679442508710801
2023-06-09,56800,57200,56300,56400,1732451,-0.17699115044247787
2023-06-12,56900,57200,56400,56600,867990,0.3546099290780142
2023-06-13,57000,57100,56200,56400,1101921,-0.35335689045936397
2023-06-14,56400,56600,55300,55700,2051297,-1.2411347517730498
2023-06-15,55700,56100,53700,53900,2719928,-3.231597845601436
2023-06-16,54300,54600,53400,53600,1745708,-0.5565862708719851
2023-06-19,53400,53400,52000,52500,2131119,-2.0522388059701493
2023-06-20,52400,52900,51500,51700,1767021,-1.5238095238095237
2023-06-21,51700,52000,50300,50500,2027881,-2.321083172147002
2023-06-22,50200,51100,50100,50300,1336297,-0.39603960396039606
2023-06-23,50200,50500,49550,49700,1755166,-1.1928429423459244
2023-06-26,49000,50300,48600,50000,1872956,0.6036217303822937
2023-06-27,50000,50100,49350,49350,1333727,-1.3
2023-06-28,49700,49750,48500,49000,1659730,-0.7092198581560284
2023-06-29,49000,49800,48700,49000,1287518,0.0
2023-06-30,48850,49700,48400,49100,1268925,0.20408163265306123
2023-07-03,49300,51000,49300,51000,1691513,3.8696537678207736
2023-07-04,50900,51000,49900,49950,1445459,-2.0588235294117645
2023-07-05,49950,50400,48800,48850,2700066,-2.2022022022022023
2023-07-06,48850,51500,48700,50900,3139685,4.1965199590583415
2023-07-07,50600,51200,49750,49850,1974639,-2.06286836935167
2023-07-10,49850,50300,49450,49850,1068139,0.0
2023-07-11,50100,51000,50000,50700,1212718,1.7051153460381143
2023-07-12,50700,51800,50200,51600,1658795,1.7751479289940828
2023-07-13,52000,52600,51700,51900,1955527,0.5813953488372093
2023-07-14,52300,52800,51600,52800,1900674,1.7341040462427744
2023-07-17,52400,53200,52200,52700,1411212,-0.1893939393939394
2023-07-18,52700,52700,51400,51800,1486148,-1.7077798861480076
2023-07-19,51800,51800,50100,50400,1674191,-2.7027027027027026
2023-07-20,50100,51100,50100,50500,1150775,0.1984126984126984
2023-07-21,50000,50800,49750,50600,1203404,0.19801980198019803
2023-07-24,50100,50300,49400,49850,1943708,-1.4822134387351777
2023-07-25,49600,49800,48800,48850,1788062,-2.0060180541624875
2023-07-26,48800,48800,46650,47800,3798977,-2.1494370522006143
2023-07-27,47500,50600,47500,50600,2861543,5.857740585774058
2023-07-28,50200,51400,49600,50600,1539813,0.0
2023-07-31,50900,51800,50000,51300,2204300,1.383399209486166
2023-08-01,51800,55300,51800,54900,7074120,7.017543859649122
2023-08-02,55100,55100,52300,53200,2936126,-3.096539162112933
2023-08-03,52800,53800,52300,53300,2146867,0.18796992481203006
2023-08-04,53800,55000,51000,51800,3173204,-2.8142589118198873
2023-08-07,51700,54000,51200,52700,2755342,1.7374517374517375
2023-08-08,53500,53600,51800,51800,1512333,-1.7077798861480076
2023-08-09,52100,53200,52100,52800,1095062,1.9305019305019304
2023-08-10,52300,53100,51900,52600,1645198,-0.3787878787878788
2023-08-11,51400,52500,50600,51600,1591602,-1.9011406844106464
2023-08-14,51700,52000,50600,50700,1062345,-1.744186046511628
2023-08-16,50300,51100,49850,50300,1125125,-0.7889546351084813
2023-08-17,50000,50100,49150,49250,1640558,-2.0874751491053676
2023-08-18,48650,49300,48200,48450,1384622,-1.6243654822335025
2023-08-21,48500,49450,48250,48400,1010367,-0.10319917440660474
2023-08-22,48550,49400,48400,48650,1131155,0.5165289256198348
2023-08-23,48700,49700,48450,48900,1344907,0.513874614594039
2023-08-24,49450,50100,48900,49100,1735760,0.408997955010225
2023-08-25,48000,48550,47600,48100,1330506,-2.0366598778004072
2023-08-28,48550,48650,47800,48000,974367,-0.2079002079002079
2023-08-29,48000,48700,48000,48600,864728,1.25
2023-08-30,49150,49400,48750,49000,888093,0.823045267489712
2023-08-31,49000,49100,48100,48100,1699582,-1.8367346938775513
2023-09-01,47950,49300,47950,48950,1371351,1.7671517671517671
2023-09-04,48900,49450,48400,49100,1020561,0.30643513789581206
2023-09-05,49100,49350,48850,48900,676829,-0.40733197556008144
2023-09-06,49000,49200,48500,49050,830228,0.3067484662576687
2023-09-07,48700,49600,48600,48750,925935,-0.6116207951070336
2023-09-08,48650,48750,48000,48250,1116295,-1.0256410256410255
2023-09-11,48250,48350,47900,48250,1017094,0.0
2023-09-12,48200,48750,48150,48400,1383694,0.31088082901554404
2023-09-13,48100,48150,47300,47800,1898035,-1.2396694214876034
2023-09-14,47850,48300,47450,48300,1687973,1.0460251046025104
2023-09-15,48100,48900,48100,48850,1695681,1.1387163561076603
2023-09-18,48550,49200,48450,48600,876697,-0.511770726714432
2023-09-19,48600,48700,47800,47850,991657,-1.5432098765432098
2023-09-20,47850,47950,47050,47100,1245851,-1.5673981191222568
2023-09-21,46800,47150,45600,45650,2463267,-3.0785562632696393
2023-09-22,45100,45650,44800,45050,1395423,-1.3143483023001095
2023-09-25,44900,45250,44650,44800,1141723,-0.5549389567147613
2023-09-26,44650,44800,43400,43750,1875514,-2.34375
2023-09-27,43150,44200,43150,43950,1134533,0.4571428571428572
2023-10-04,43050,43100,41600,41600,2511805,-5.346985210466439
2023-10-05,41750,42400,40700,40850,1859309,-1.8028846153846152
2023-10-06,40600,42100,40600,42050,1130815,2.937576499388005
2023-10-10,42100,42350,41200,41400,1273485,-1.5457788347205708
2023-10-11,41900,43200,41900,42650,1343809,3.0193236714975846
2023-10-12,42700,44000,42600,43650,1373599,2.3446658851113718
2023-10-13,43250,43650,43050,43200,589597,-1.0309278350515463
2023-10-16,43250,43900,42400,43150,941701,-0.11574074074074073
2023-10-17,43400,44050,42800,42800,1063385,-0.8111239860950173
2023-10-18,42400,42950,41800,41800,1389354,-2.336448598130841
2023-10-19,41000,41400,40450,40500,1699061,-3.110047846889952
2023-10-20,39750,40150,38850,39050,2483524,-3.580246913580247
2023-10-23,38200,38900,37850,37950,2585077,-2.8169014084507045
2023-10-24,38300,39700,37850,39600,2739742,4.3478260869565215
2023-10-25,39600,39650,38850,38950,1422352,-1.6414141414141417
2023-10-26,38250,38500,37400,37650,2073618,-3.3376123234916557
2023-10-27,37650,38050,37300,37750,1323041,0.2656042496679947
2023-10-30,37650,38400,37600,38000,1290753,0.6622516556291391
2023-10-31,38250,38950,37450,37800,1791726,-0.5263157894736842
2023-11-01,38000,38300,37450,37600,1272093,-0.5291005291005291
2023-11-02,38000,38600,37900,38550,1529650,2.5265957446808507
2023-11-03,39250,41550,38900,41300,3675484,7.133592736705577
2023-11-06,43000,44700,42300,44700,4871031,8.232445520581114
2023-11-07,44700,44750,42850,43750,2026104,-2.1252796420581657
2023-11-08,44350,45000,43850,43950,1515109,0.4571428571428572
2023-11-09,43450,46500,43450,45600,3198261,3.754266211604096
2023-11-10,45800,46100,45000,45650,1978790,0.10964912280701754
2023-11-13,45800,46450,44900,45000,1288632,-1.4238773274917853
2023-11-14,46150,46950,45500,46350,1718239,3.0
2023-11-15,47200,48450,46800,48300,2792797,4.207119741100324
2023-11-16,47400,48250,46850,48200,1565115,-0.2070393374741201
2023-11-17,48150,48150,47200,47500,1144308,-1.4522821576763485
2023-11-20,47250,48150,47000,47800,929546,0.631578947368421
2023-11-21,48300,49600,48300,49250,2483017,3.0334728033472804
2023-11-22,48750,51000,48250,50300,2467921,2.131979695431472
2023-11-23,50400,50600,49600,50300,1394573,0.0
2023-11-24,50400,50900,50000,50500,1011208,0.3976143141153081
2023-11-27,50800,51000,49300,49850,1480318,-1.2871287128712872
2023-11-28,50000,51200,49800,51100,1423510,2.507522567703109
2023-11-29,50800,51300,50100,50500,1284120,-1.1741682974559686
2023-11-30,50200,50900,50000,50500,1613598,0.0
2023-12-01,50400,50400,49650,49700,1105367,-1.5841584158415842
2023-12-04,49800,51300,49750,50800,1785113,2.2132796780684103
2023-12-05,50700,51200,50200,50800,1142447,0.0
2023-12-06,50700,51100,50200,50500,1039034,-0.5905511811023622
2023-12-07,50200,50800,50000,50500,723544,0.0
2023-12-08,51400,52000,50700,51700,1481560,2.376237623762376
2023-12-11,52000,53200,51900,52100,1538081,0.7736943907156674
2023-12-12,52500,52700,51800,51800,966939,-0.5758157389635317
2023-12-13,51800,52000,50700,50900,886654,-1.7374517374517375
2023-12-14,52400,54900,52300,54300,4990407,6.679764243614931
2023-12-15,54400,55000,54000,54900,2212939,1.1049723756906076
2023-12-18,55000,55000,53700,53900,1357544,-1.8214936247723135
2023-12-19,53500,54400,53200,53800,933314,-0.1855287569573284
2023-12-20,54200,54200,53000,53700,1132733,-0.18587360594795538
2023-12-21,52900,53600,52000,52800,1536311,-1.675977653631285
2023-12-22,53300,53700,52600,52800,1215421,0.0
2023-12-26,52100,53400,52100,52400,957793,-0.7575757575757576
2023-12-27,52400,53500,52100,53400,940418,1.9083969465648856
2023-12-28,53700,54300,53300,54300,979793,1.6853932584269662
2024-01-02,54300,57900,54000,57900,3726752,6.629834254143646
2024-01-03,57100,57600,56000,56600,1917854,-2.2452504317789295
2024-01-04,55800,57800,55600,57200,1884358,1.0600706713780919
2024-01-05,57400,57500,55500,55800,1316579,-2.4475524475524475
2024-01-08,55800,58800,55800,57200,2497737,2.5089605734767026
2024-01-09,58500,59200,58300,58700,2166853,2.6223776223776225
2024-01-10,58900,60000,58600,59200,2729859,0.8517887563884157
2024-01-11,60300,61900,59400,60800,4601300,2.7027027027027026
2024-01-12,60900,61200,59100,60400,2014084,-0.6578947368421052
2024-01-15,60500,61800,59800,61100,1737021,1.1589403973509933
2024-01-16,60600,61700,59400,59600,1918777,-2.454991816693944
2024-01-17,59600,59900,56600,57500,3326071,-3.523489932885906
2024-01-18,57200,57900,55900,56800,2237185,-1.2173913043478262
2024-01-19,58100,58800,57100,57600,1736180,1.4084507042253522
2024-01-22,58300,58900,55800,56400,1934438,-2.083333333333333
2024-01-23,56700,58000,56600,57700,1100723,2.304964539007092
2024-01-24,57500,57500,56300,56700,927568,-1.733102253032929
2024-01-25,56300,56700,54700,56000,1817363,-1.2345679012345678
2024-01-26,55700,57400,55600,56600,904913,1.0714285714285714
2024-01-29,56600,57200,55200,55300,1329616,-2.2968197879858656
2024-01-30,55900,56000,53600,54300,2011521,-1.8083182640144666
2024-01-31,53700,53900,52200,52500,1794783,-3.314917127071823
2024-02-01,51900,53100,51500,52700,1422821,0.38095238095238093
2024-02-02,53800,56600,53700,56300,2428683,6.83111954459203
2024-02-05,57000,57400,54600,55000,1564624,-2.3090586145648313
2024-02-06,54500,55000,53800,54000,982600,-1.8181818181818181
2024-02-07,54400,55700,53600,53800,1256600,-0.3703703703703704
2024-02-08,54500,54700,53700,54000,1532750,0.37174721189591076
2024-02-13,54000,55300,54000,54700,957145,1.2962962962962963
2024-02-14,53900,54900,53200,54900,886156,0.3656307129798903
2024-02-15,56800,61400,56700,59200,10199107,7.832422586520947
2024-02-16,59500,59700,58300,58400,2310632,-1.3513513513513513
2024-02-19,58800,59100,58100,58200,1409033,-0.3424657534246575
2024-02-20,57900,60000,57800,58700,1943466,0.859106529209622
2024-02-21,58800,58900,58000,58000,844219,-1.192504258943782
2024-02-22,58600,58900,57700,57900,972001,-0.1724137931034483
2024-02-23,58100,58200,56600,57100,1330016,-1.381692573402418
2024-02-26,57500,58000,57000,57100,871467,0.0
2024-02-27,57200,57700,56300,56800,1022628,-0.5253940455341506
2024-02-28,56800,57400,55200,55600,1463434,-2.112676056338028
2024-02-29,55100,55300,53000,53300,3056344,-4.136690647482014
2024-03-04,53600,54900,52900,53100,1830422,-0.37523452157598497
2024-03-05,52600,52900,51600,51700,1737655,-2.6365348399246704
2024-03-06,51400,52300,51400,51900,902578,0.3868471953578337
2024-03-07,52200,53700,52000,52900,1425978,1.9267822736030826
2024-03-08,53600,54200,53000,53200,1466862,0.5671077504725899
2024-03-11,53200,54800,52700,54600,1047193,2.631578947368421
2024-03-12,55000,56000,54800,55800,1388337,2.197802197802198
2024-03-13,55900,56000,54100,54600,1088171,-2.1505376344086025
2024-03-14,54600,55800,54600,54900,1792414,0.5494505494505495
2024-03-15,55000,55000,53900,54100,926038,-1.4571948998178506
2024-03-18,54200,54300,52700,53000,1168724,-2.033271719038817
2024-03-19,52700,52800,51700,52000,1116159,-1.8867924528301887
2024-03-20,52400,53200,52300,52900,869967,1.7307692307692308
2024-03-21,53900,54200,52800,53600,1359646,1.3232514177693762
2024-03-22,53600,54300,53300,53600,881388,0.0
2024-03-25,53400,54500,53100,53800,717693,0.3731343283582089
2024-03-26,54200,55200,53900,54900,1170288,2.0446096654275094
2024-03-27,54200,55200,53900,54800,779339,-0.18214936247723132
2024-03-28,54800,55700,54400,54400,955506,-0.7299270072992701
2024-03-29,54500,54900,53500,53700,870563,-1.2867647058823528
2024-04-01,54100,54500,53600,53800,775737,0.186219739292365
2024-04-02,53200,53200,51000,51200,2856932,-4.83271375464684
2024-04-03,51200,52000,51000,51000,1332410,-0.390625
2024-04-04,51200,51500,49100,49300,2658438,-3.3333333333333335
2024-04-05,48400,49100,48200,48750,1559612,-1.1156186612576064
2024-04-08,48850,49750,48300,49150,1006988,0.8205128205128205
2024-04-09,49100,50100,48850,49250,775713,0.20345879959308238
2024-04-11,48450,48800,47700,48050,2005085,-2.4365482233502536
2024-04-12,48050,48450,47650,47850,946914,-0.41623309053069724
2024-04-15,47100,48000,46850,47750,801117,-0.20898641588296762
2024-04-16,47200,47400,46600,46750,1144123,-2.094240837696335
2024-04-17,46700,48000,46700,46900,1043806,0.32085561497326204
2024-04-18,47350,50200,46900,49100,2262675,4.690831556503198
2024-04-19,48350,49600,47700,48600,1184289,-1.0183299389002036
2024-04-22,49450,49700,48450,49000,641194,0.823045267489712
2024-04-23,48700,48750,47050,47500,1782455,-3.061224489795918
2024-04-24,48000,48400,47850,48100,725443,1.263157894736842
2024-04-25,47500,47900,47100,47400,847788,-1.4553014553014554
2024-04-26,47850,47900,47150,47300,656101,-0.21097046413502107
2024-04-29,47650,48600,47600,48500,950410,2.536997885835095
2024-04-30,48350,48850,48300,48600,1015126,0.2061855670103093
2024-05-02,48150,48550,48050,48300,889047,-0.6172839506172839
2024-05-03,49000,50300,49000,49200,1373246,1.8633540372670807
2024-05-07,49900,50500,49400,49700,1465976,1.0162601626016259
2024-05-08,49750,50100,49350,49800,737154,0.2012072434607646
2024-05-09,50200,50600,48400,48600,2000421,-2.4096385542168677
2024-05-10,49000,49050,47650,47800,1407165,-1.646090534979424
2024-05-13,47700,47750,47000,47000,995194,-1.6736401673640167
2024-05-14,47200,47400,46650,46650,1185101,-0.7446808510638299
2024-05-16,47050,47700,46750,46800,1445556,0.3215434083601286
2024-05-17,46600,47100,46400,46450,923404,-0.7478632478632479
2024-05-20,46800,46800,46000,46050,947656,-0.8611410118406888
2024-05-21,45650,46250,45350,45950,1159453,-0.21715526601520088
2024-05-22,45800,46200,45500,45800,1200115,-0.3264417845484222
2024-05-23,45800,45950,45250,45450,894733,-0.7641921397379913
2024-05-24,45050,45250,44400,44450,1280352,-2.2002200220022003
2024-05-27,44600,46600,44550,45850,1500538,3.149606299212598
2024-05-28,46000,46050,45100,45100,734989,-1.6357688113413305
2024-05-29,44650,44950,43700,43750,1439203,-2.9933481152993346
2024-05-30,43300,44050,43100,43650,798465,-0.2285714285714286
2024-05-31,44050,44350,43000,43300,2172503,-0.8018327605956471
2024-06-03,43350,45150,43300,44300,904573,2.3094688221709005
2024-06-04,43900,44950,43850,44600,710096,0.6772009029345373
2024-06-05,44900,44950,44150,44550,652883,-0.11210762331838565
2024-06-07,44600,45150,44150,44250,922538,-0.6734006734006733
2024-06-10,43700,43800,42950,43100,913040,-2.598870056497175
2024-06-11,43350,43850,43000,43150,707905,0.11600928074245939
2024-06-12,43150,43600,42750,43050,1047526,-0.2317497103128621
2024-06-13,43350,44100,43150,43650,2477617,1.3937282229965158
2024-06-14,43250,44200,43050,43900,1154685,0.572737686139748
2024-06-17,43500,43750,42150,42400,1321022,-3.416856492027335
2024-06-18,42500,43000,42200,42300,871491,-0.2358490566037736
2024-06-19,42500,42800,41800,42800,1430015,1.1820330969267139
2024-06-20,42550,42800,42200,42400,783732,-0.9345794392523363
2024-06-21,42450,43150,42400,43150,2111727,1.7688679245283019
2024-06-24,42800,42950,42050,42050,891039,-2.549246813441483
2024-06-25,42250,42300,41000,41000,1607274,-2.4970273483947683
2024-06-26,40650,42100,40500,41600,1244850,1.4634146341463417
2024-06-27,41100,41300,40400,40400,1203554,-2.8846153846153846
2024-06-28,40650,41250,40350,40650,936191,0.6188118811881188
2024-07-01,40300,41150,40250,41000,714241,0.8610086100861009
2024-07-02,40600,40800,39950,40000,1130668,-2.4390243902439024
2024-07-03,40100,41000,40000,40100,1173859,0.25
2024-07-04,40100,40650,40000,40300,861325,0.4987531172069825
2024-07-05,40300,41800,40100,41500,1530900,2.977667493796526
2024-07-08,41500,43100,41200,42400,1595728,2.1686746987951806
2024-07-09,42350,43150,42000,42450,1123272,0.1179245283018868
2024-07-10,42000,42900,41600,42750,1285909,0.7067137809187279
2024-07-11,43150,43250,42100,42350,1381961,-0.9356725146198831
2024-07-12,42350,44000,41950,42250,1870201,-0.23612750885478156
2024-07-15,42550,42900,41900,41900,1108465,-0.8284023668639053
2024-07-16,41950,42150,40800,40900,1196676,-2.386634844868735
2024-07-17,40950,41450,40550,41200,1538706,0.7334963325183375
2024-07-18,40800,41150,40300,41150,936043,-0.12135922330097086
2024-07-19,40900,42100,40650,41350,1145416,0.48602673147023084
2024-07-22,41350,41600,40850,41050,880598,-0.7255139056831923
2024-07-23,40500,41450,38700,38850,4258210,-5.35931790499391
2024-07-24,38500,40650,38100,39550,2560151,1.8018018018018018
2024-07-25,39350,40700,39050,40550,1532071,2.5284450063211126
2024-07-26,40550,40600,39800,39800,950430,-1.8495684340320593
2024-07-29,39850,40150,39500,39950,655444,0.37688442211055273
2024-07-30,39600,40150,38950,39050,1029339,-2.252816020025031
