날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,22500,22650,21600,21600,509935,-4.424778761061947
2023-01-03,21800,21950,20950,21250,553748,-1.6203703703703702
2023-01-04,21150,21550,20550,21450,540395,0.9411764705882352
2023-01-05,21500,21500,20750,21000,702581,-2.097902097902098
2023-01-06,20800,21450,20650,21150,443151,0.7142857142857143
2023-01-09,21300,21500,21150,21450,439700,1.4184397163120568
2023-01-10,21500,21700,21200,21350,397099,-0.4662004662004662
2023-01-11,21500,21700,21050,21250,612490,-0.468384074941452
2023-01-12,21400,21600,21250,21250,530327,0.0
2023-01-13,21400,22900,21350,22850,1218130,7.529411764705881
2023-01-16,22850,23000,22550,22650,509404,-0.87527352297593
2023-01-17,22850,22900,22450,22550,387170,-0.44150110375275936
2023-01-18,22550,22650,22200,22450,278824,-0.4434589800443459
2023-01-19,22300,23700,22200,23550,1146365,4.8997772828507795
2023-01-20,23600,24550,23450,24250,1127975,2.9723991507431
2023-01-25,24300,24350,23500,23700,699918,-2.268041237113402
2023-01-26,23700,24000,23500,24000,490669,1.2658227848101267
2023-01-27,24000,24200,23600,23950,728248,-0.20833333333333334
2023-01-30,23850,23950,23350,23350,523423,-2.5052192066805845
2023-01-31,23750,24100,23350,23450,838355,0.4282655246252677
2023-02-01,23750,24000,23400,23750,609338,1.279317697228145
2023-02-02,23950,24050,23000,23300,782423,-1.8947368421052633
2023-02-03,23200,23450,22850,23200,453976,-0.4291845493562232
2023-02-06,23200,23500,22950,23300,369588,0.43103448275862066
2023-02-07,23400,23450,22000,22200,1260200,-4.721030042918455
2023-02-08,22400,22500,22050,22200,537252,0.0
2023-02-09,22050,22300,21950,22050,395228,-0.6756756756756757
2023-02-10,21900,22300,21800,22300,351371,1.1337868480725624
2023-02-13,22200,23100,22200,23050,951244,3.3632286995515694
2023-02-14,22900,23100,22700,22750,380134,-1.3015184381778742
2023-02-15,22850,22950,22350,22350,317359,-1.7582417582417582
2023-02-16,22500,23100,22400,22900,520610,2.460850111856823
2023-02-17,22600,23050,22450,22700,279485,-0.8733624454148471
2023-02-20,22750,22850,22250,22650,357378,-0.22026431718061676
2023-02-21,22700,23750,22450,23550,859378,3.9735099337748347
2023-02-22,23300,24650,23300,24050,1453721,2.1231422505307855
2023-02-23,24100,24150,23450,23850,823522,-0.8316008316008316
2023-02-24,24050,24750,23900,24200,982815,1.4675052410901468
2023-02-27,24200,24450,23150,23350,976964,-3.512396694214876
2023-02-28,23400,23400,22600,22600,829579,-3.2119914346895073
2023-03-02,22600,23350,22600,23050,712432,1.991150442477876
2023-03-03,23100,23100,22600,22850,524583,-0.8676789587852495
2023-03-06,23050,23050,22500,22600,606625,-1.0940919037199124
2023-03-07,22600,22950,22450,22500,744204,-0.4424778761061947
2023-03-08,22300,22350,21900,22150,729951,-1.5555555555555556
2023-03-09,22200,22300,21700,22100,1193317,-0.2257336343115124
2023-03-10,21700,21900,21300,21400,872002,-3.167420814479638
2023-03-13,21400,21650,21100,21650,634508,1.1682242990654206
2023-03-14,21550,21550,20850,20900,616761,-3.4642032332563506
2023-03-15,21250,21300,20900,21050,475101,0.7177033492822966
2023-03-16,20850,20900,20300,20700,717775,-1.66270783847981
2023-03-17,20900,21050,20650,20750,572984,0.24154589371980675
2023-03-20,20750,21200,20650,20700,356967,-0.24096385542168677
2023-03-21,20800,21400,20750,21150,478593,2.1739130434782608
2023-03-22,21400,21400,20950,21150,384694,0.0
2023-03-23,21000,21050,20600,20700,473675,-2.127659574468085
2023-03-24,20650,20700,20400,20650,458370,-0.24154589371980675
2023-03-27,20750,21100,20550,20900,459435,1.2106537530266344
2023-03-28,20950,21850,20950,21650,861094,3.588516746411483
2023-03-29,21550,21750,21150,21500,558944,-0.6928406466512702
2023-03-30,21600,21750,21200,21500,457732,0.0
2023-03-31,21550,22600,21450,22300,1439634,3.7209302325581395
2023-04-03,22750,22750,22000,22100,612925,-0.8968609865470852
2023-04-04,22150,22500,22000,22050,515962,-0.22624434389140274
2023-04-05,22100,22300,21650,21800,542450,-1.1337868480725624
2023-04-06,21700,22000,21400,21550,426991,-1.146788990825688
2023-04-07,21650,21750,21250,21350,503502,-0.9280742459396751
2023-04-10,21450,22550,21450,22350,1109353,4.683840749414521
2023-04-11,22500,22650,21800,21900,802894,-2.013422818791946
2023-04-12,21900,22400,21850,22200,689086,1.36986301369863
2023-04-13,22350,22550,22000,22250,791219,0.22522522522522523
2023-04-14,23450,27450,23300,26500,18318610,19.101123595505616
2023-04-17,27450,31500,27100,30300,17995784,14.339622641509434
2023-04-18,31850,34600,29950,30500,20199794,0.6600660066006601
2023-04-19,31150,32450,30500,31250,6431312,2.459016393442623
2023-04-20,31100,31300,29150,29150,1799126,-6.72
2023-04-21,28700,28700,27900,27950,1662785,-4.1166380789022305
2023-04-24,28050,28950,28050,28950,1048430,3.5778175313059033
2023-04-25,29400,29450,26900,27500,3876913,-5.008635578583765
2023-04-26,27700,28050,26750,27050,2483810,-1.6363636363636365
2023-04-27,26750,27500,26450,27400,2308485,1.2939001848428837
2023-04-28,27800,28150,26250,26800,2133420,-2.18978102189781
2023-05-02,27250,28850,27250,28150,2883293,5.037313432835821
2023-05-03,27900,28600,27150,27900,1767637,-0.8880994671403196
2023-05-04,28300,28400,27500,27950,1409827,0.17921146953405018
2023-05-08,28800,28900,27600,27900,1457586,-0.17889087656529518
2023-05-09,27650,27700,26100,26850,1690137,-3.763440860215054
2023-05-10,26600,28350,26550,27650,1928908,2.97951582867784
2023-05-11,27700,28700,27650,28400,1755076,2.7124773960216997
2023-05-12,29700,29800,26900,27050,3627180,-4.753521126760563
2023-05-15,27450,29650,27100,27650,3507527,2.2181146025878005
2023-05-16,27750,29100,27650,28350,2369179,2.5316455696202533
2023-05-17,28450,29050,28000,28800,1579056,1.5873015873015872
2023-05-18,28900,31700,28750,30850,5653617,7.118055555555555
2023-05-19,31300,31500,29650,29850,2697937,-3.2414910858995136
2023-05-22,29850,31200,29650,30450,1979141,2.0100502512562812
2023-05-23,29900,30200,28600,28700,2962471,-5.747126436781609
2023-05-24,28400,29450,28400,29400,1644846,2.4390243902439024
2023-05-25,29000,29350,28550,29000,1141084,-1.3605442176870748
2023-05-26,28600,29050,28150,28400,1394877,-2.0689655172413794
2023-05-30,29050,30800,29050,30150,4889090,6.161971830985916
2023-05-31,30150,30650,29500,30100,6480684,-0.16583747927031509
2023-06-01,29800,30150,29050,29950,1273560,-0.4983388704318937
2023-06-02,30200,31700,30200,31100,3112033,3.8397328881469113
2023-06-05,31950,33450,31600,33000,3636919,6.109324758842444
2023-06-07,33550,33600,32400,33350,2240263,1.0606060606060608
2023-06-08,33200,39550,32950,38700,14190858,16.041979010494753
2023-06-09,38400,38950,36400,36750,4590273,-5.038759689922481
2023-06-12,37100,37650,36400,36650,2591679,-0.27210884353741494
2023-06-13,36850,37550,36200,36550,2397639,-0.2728512960436562
2023-06-14,36800,38300,36400,36800,4105890,0.6839945280437756
2023-06-15,36950,37500,35800,36200,1899307,-1.6304347826086956
2023-06-16,36700,38050,36500,37800,2995152,4.41988950276243
2023-06-19,37800,38300,37250,38300,1880330,1.3227513227513228
2023-06-20,38800,39300,37600,38000,2022996,-0.7832898172323759
2023-06-21,37700,39600,37700,38750,2532123,1.9736842105263157
2023-06-22,38700,39700,38300,39200,2262232,1.1612903225806452
2023-06-23,39300,39350,37300,37450,1985570,-4.464285714285714
2023-06-26,37150,38750,37100,37950,1716788,1.335113484646195
2023-06-27,37800,39250,37600,38950,2771022,2.635046113306983
2023-06-28,39350,41400,39100,39700,6342027,1.9255455712451863
2023-06-29,40050,40100,38350,38850,2079912,-2.141057934508816
2023-06-30,38850,39850,38150,39850,1806695,2.574002574002574
2023-07-03,40150,40700,39550,40400,1999460,1.3801756587202008
2023-07-04,40950,44200,40700,43100,6546370,6.683168316831684
2023-07-05,43450,48450,43150,46350,8607622,7.5406032482598615
2023-07-06,46400,46450,43750,43900,3611006,-5.285868392664509
2023-07-07,43900,45750,43600,45050,3335156,2.619589977220957
2023-07-10,45100,45150,42200,42500,2923613,-5.660377358490567
2023-07-11,42550,44200,42200,43800,2703357,3.058823529411765
2023-07-12,44200,46650,43500,45300,3466437,3.4246575342465753
2023-07-13,46000,46100,43800,45800,2430356,1.1037527593818985
2023-07-14,46350,50400,46050,48450,6353122,5.786026200873363
2023-07-17,48800,51100,47950,48650,3519759,0.41279669762641896
2023-07-18,48700,49400,47700,48750,2588623,0.20554984583761562
2023-07-19,49000,49300,46300,46950,2746489,-3.6923076923076925
2023-07-20,46000,49100,46000,48800,2490810,3.940362087326944
2023-07-21,47800,51300,46500,50800,3669202,4.098360655737705
2023-07-24,51200,66000,51000,66000,11810517,29.92125984251969
2023-07-25,70500,76700,70100,74400,15560077,12.727272727272727
2023-07-26,77000,96700,74400,85100,24618846,14.381720430107528
2023-07-27,85100,89100,65000,66600,14951424,-21.73913043478261
2023-07-28,64900,80000,62900,80000,17507414,20.12012012012012
2023-07-31,84000,94400,83200,90100,15691422,12.625
2023-08-01,93900,94400,82600,84100,9503517,-6.659267480577137
2023-08-02,81600,88800,81500,85000,8349835,1.070154577883472
2023-08-03,87100,87500,78400,82100,6379468,-3.4117647058823533
2023-08-04,82700,89400,82400,85100,8807681,3.6540803897685747
2023-08-07,83000,84300,75600,76400,5051649,-10.223266745005875
