날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,596000,620000,596000,604000,108253,0.6666666666666667
2023-01-03,605000,610000,599000,601000,112173,-0.49668874172185434
2023-01-04,594000,608000,586000,601000,129672,0.0
2023-01-05,603000,609000,580000,581000,190445,-3.3277870216306153
2023-01-06,581000,598000,575000,594000,135877,2.2375215146299485
2023-01-09,599000,627000,589000,624000,187189,5.05050505050505
2023-01-10,632000,647000,628000,629000,217651,0.8012820512820512
2023-01-11,631000,642000,622000,634000,130042,0.7949125596184419
2023-01-12,643000,644000,629000,637000,152114,0.47318611987381703
2023-01-13,636000,649000,631000,644000,153532,1.098901098901099
2023-01-16,645000,655000,637000,638000,111249,-0.9316770186335404
2023-01-17,638000,641000,615000,619000,192280,-2.978056426332288
2023-01-18,624000,630000,609000,613000,146564,-0.9693053311793215
2023-01-19,610000,621000,608000,621000,143197,1.3050570962479608
2023-01-20,623000,628000,612000,625000,134554,0.644122383252818
2023-01-25,646000,655000,638000,652000,221307,4.32
2023-01-26,653000,687000,645000,685000,257413,5.061349693251533
2023-01-27,696000,696000,674000,685000,186406,0.0
2023-01-30,688000,703000,677000,683000,250561,-0.291970802919708
2023-01-31,680000,700000,672000,690000,310432,1.0248901903367496
2023-02-01,682000,694000,677000,688000,282102,-0.2898550724637681
2023-02-02,695000,696000,672000,676000,275597,-1.744186046511628
2023-02-03,672000,676000,661000,674000,211018,-0.2958579881656805
2023-02-06,665000,672000,658000,658000,169927,-2.3738872403560833
2023-02-07,653000,685000,653000,681000,241408,3.4954407294832825
2023-02-08,681000,686000,672000,672000,134248,-1.3215859030837005
2023-02-09,664000,691000,657000,680000,206970,1.1904761904761905
2023-02-10,675000,680000,666000,673000,129178,-1.0294117647058822
2023-02-13,674000,678000,663000,670000,114841,-0.44576523031203563
2023-02-14,676000,682000,664000,676000,160165,0.8955223880597015
2023-02-15,676000,682000,669000,674000,139846,-0.2958579881656805
2023-02-16,680000,728000,675000,717000,405051,6.379821958456973
2023-02-17,707000,722000,686000,689000,257670,-3.905160390516039
2023-02-20,696000,696000,666000,667000,242105,-3.1930333817126266
2023-02-21,668000,690000,666000,687000,220058,2.998500749625187
2023-02-22,675000,680000,666000,666000,192246,-3.056768558951965
2023-02-23,666000,677000,659000,668000,127506,0.3003003003003003
2023-02-24,668000,686000,666000,669000,145162,0.14970059880239522
2023-02-27,661000,666000,651000,657000,175530,-1.7937219730941705
2023-02-28,663000,684000,659000,680000,252098,3.50076103500761
2023-03-02,672000,684000,671000,678000,174629,-0.29411764705882354
2023-03-03,687000,707000,684000,703000,236335,3.687315634218289
2023-03-06,722000,727000,711000,726000,274209,3.2716927453769555
2023-03-07,733000,757000,730000,740000,372754,1.9283746556473829
2023-03-08,727000,727000,711000,715000,229545,-3.3783783783783785
2023-03-09,720000,725000,700000,710000,222278,-0.6993006993006993
2023-03-10,694000,710000,690000,707000,195645,-0.42253521126760557
2023-03-13,714000,727000,699000,718000,291597,1.5558698727015559
2023-03-14,708000,718000,695000,705000,189009,-1.8105849582172702
2023-03-15,719000,727000,711000,721000,153827,2.269503546099291
2023-03-16,716000,731000,707000,730000,224294,1.248266296809986
2023-03-17,743000,745000,696000,702000,495493,-3.8356164383561646
2023-03-20,694000,703000,681000,683000,242829,-2.7065527065527064
2023-03-21,690000,693000,673000,677000,220078,-0.8784773060029283
2023-03-22,687000,703000,687000,703000,206510,3.8404726735598227
2023-03-23,697000,717000,695000,712000,202975,1.2802275960170697
2023-03-24,711000,714000,683000,690000,243174,-3.089887640449438
2023-03-27,702000,712000,691000,698000,175698,1.1594202898550725
2023-03-28,701000,704000,687000,704000,238741,0.8595988538681949
2023-03-29,704000,708000,695000,705000,146056,0.14204545454545456
2023-03-30,708000,709000,692000,696000,181406,-1.276595744680851
2023-03-31,699000,720000,692000,712000,234893,2.2988505747126435
2023-04-03,728000,730000,708000,712000,210319,0.0
2023-04-04,717000,754000,716000,722000,357335,1.4044943820224718
2023-04-05,722000,739000,716000,732000,173102,1.3850415512465373
2023-04-06,728000,730000,712000,716000,214460,-2.185792349726776
2023-04-07,720000,720000,706000,714000,176079,-0.27932960893854747
2023-04-10,721000,766000,718000,750000,435352,5.042016806722689
2023-04-11,768000,857000,765000,806000,1194745,7.466666666666668
2023-04-12,799000,821000,775000,775000,614112,-3.8461538461538463
2023-04-13,760000,810000,760000,802000,500579,3.483870967741935
2023-04-14,812000,813000,781000,802000,372206,0.0
2023-04-17,802000,816000,782000,805000,351391,0.3740648379052369
2023-04-18,822000,830000,808000,825000,359378,2.484472049689441
2023-04-19,820000,823000,790000,790000,388626,-4.242424242424243
2023-04-20,790000,807000,790000,800000,281434,1.2658227848101267
2023-04-21,798000,798000,766000,771000,280781,-3.6249999999999996
2023-04-24,762000,780000,762000,767000,221374,-0.5188067444876783
2023-04-25,774000,778000,729000,742000,311844,-3.259452411994785
2023-04-26,742000,746000,727000,727000,240656,-2.0215633423180592
2023-04-27,734000,747000,726000,741000,315286,1.925722145804677
2023-04-28,746000,750000,730000,740000,257164,-0.1349527665317139
2023-05-02,750000,760000,738000,746000,203437,0.8108108108108109
2023-05-03,741000,742000,726000,726000,159157,-2.680965147453083
2023-05-04,727000,735000,724000,731000,149664,0.6887052341597797
2023-05-08,741000,747000,723000,726000,150083,-0.6839945280437756
2023-05-09,726000,735000,710000,722000,149656,-0.5509641873278237
2023-05-10,717000,723000,704000,709000,201484,-1.8005540166204987
2023-05-11,712000,715000,691000,691000,311828,-2.538787023977433
2023-05-12,697000,700000,685000,688000,232162,-0.43415340086830684
2023-05-15,685000,694000,677000,691000,175241,0.436046511627907
2023-05-16,696000,707000,692000,695000,179012,0.5788712011577424
2023-05-17,692000,712000,687000,709000,136372,2.014388489208633
2023-05-18,712000,714000,701000,709000,151282,0.0
2023-05-19,710000,711000,697000,698000,161829,-1.5514809590973202
2023-05-22,698000,707000,692000,700000,161714,0.28653295128939826
2023-05-23,705000,741000,700000,719000,375157,2.7142857142857144
2023-05-24,719000,734000,716000,720000,181354,0.13908205841446453
2023-05-25,719000,722000,709000,712000,158080,-1.1111111111111112
2023-05-26,708000,716000,697000,706000,133917,-0.8426966292134831
2023-05-30,715000,717000,698000,702000,182533,-0.56657223796034
2023-05-31,702000,710000,692000,693000,489828,-1.282051282051282
2023-06-01,698000,702000,686000,687000,258102,-0.8658008658008658
2023-06-02,693000,724000,688000,721000,346407,4.9490538573508
2023-06-05,730000,730000,716000,723000,148006,0.27739251040221913
2023-06-07,729000,752000,728000,746000,297767,3.18118948824343
2023-06-08,746000,751000,731000,737000,249933,-1.2064343163538873
2023-06-09,741000,761000,735000,752000,235688,2.03527815468114
2023-06-12,763000,763000,745000,746000,140486,-0.7978723404255319
2023-06-13,750000,751000,736000,736000,155147,-1.3404825737265416
2023-06-14,736000,739000,716000,719000,265425,-2.309782608695652
2023-06-15,721000,730000,708000,722000,254423,0.4172461752433936
2023-06-16,727000,754000,725000,743000,355710,2.9085872576177287
2023-06-19,747000,763000,730000,752000,315174,1.2113055181695829
2023-06-20,755000,755000,735000,739000,204789,-1.7287234042553192
2023-06-21,742000,742000,723000,723000,177750,-2.165087956698241
2023-06-22,721000,728000,710000,721000,146160,-0.2766251728907331
2023-06-23,723000,723000,706000,709000,170902,-1.6643550624133148
2023-06-26,709000,712000,702000,703000,145097,-0.846262341325811
2023-06-27,705000,709000,697000,703000,150949,0.0
2023-06-28,710000,710000,657000,662000,523591,-5.832147937411095
2023-06-29,666000,682000,660000,660000,293283,-0.3021148036253776
2023-06-30,665000,673000,660000,667000,176510,1.0606060606060608
2023-07-03,678000,695000,677000,691000,227535,3.598200899550225
2023-07-04,692000,692000,678000,680000,221408,-1.5918958031837915
2023-07-05,684000,684000,673000,676000,197455,-0.5882352941176471
2023-07-06,673000,675000,662000,664000,221272,-1.7751479289940828
2023-07-07,661000,665000,652000,656000,274332,-1.2048192771084338
2023-07-10,650000,660000,643000,654000,210646,-0.3048780487804878
2023-07-11,656000,659000,648000,654000,193263,0.0
2023-07-12,659000,660000,642000,653000,278392,-0.1529051987767584
2023-07-13,654000,677000,653000,670000,488183,2.6033690658499236
2023-07-14,675000,682000,666000,680000,271672,1.4925373134328357
