날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,35500,35550,34300,34300,660649,-2.556818181818182
2023-01-03,34700,35250,34150,35000,863125,2.0408163265306123
2023-01-04,34900,36450,34850,36400,1087924,4.0
2023-01-05,37000,39700,37000,39450,3871736,8.379120879120878
2023-01-06,39800,40800,39100,40600,2806312,2.915082382762991
2023-01-09,41000,41050,39700,40350,1983917,-0.6157635467980296
2023-01-10,40150,41000,39700,40900,1940122,1.3630731102850062
2023-01-11,40900,40900,39600,40000,1389565,-2.2004889975550124
2023-01-12,40100,40400,39850,40050,1231244,0.125
2023-01-13,40050,41350,39500,41050,1631414,2.4968789013732833
2023-01-16,41600,43900,41400,43800,3988771,6.699147381242387
2023-01-17,43500,43900,43250,43300,2079236,-1.141552511415525
2023-01-18,43150,43150,42150,42700,2108358,-1.3856812933025404
2023-01-19,42550,42700,42200,42450,1198094,-0.5854800936768151
2023-01-20,42700,43400,42450,43300,1382953,2.0023557126030624
2023-01-25,44000,44150,43450,44050,1404743,1.7321016166281753
2023-01-26,44050,44900,43750,44900,2324170,1.9296254256526675
2023-01-27,44150,44750,44000,44750,1940802,-0.33407572383073497
2023-01-30,44250,44300,43150,43250,1831802,-3.35195530726257
2023-01-31,42850,43250,41250,41550,2588590,-3.9306358381502893
2023-02-01,41600,42450,41600,42450,1630068,2.166064981949458
2023-02-02,42150,42200,41100,41250,1722535,-2.8268551236749118
2023-02-03,41300,42300,40900,41650,1342368,0.9696969696969697
2023-02-06,40750,41450,40450,40950,1572060,-1.680672268907563
2023-02-07,40700,41250,40350,40800,1339208,-0.3663003663003663
2023-02-08,41250,42750,41050,41550,1964414,1.8382352941176472
2023-02-09,41200,41950,39850,40000,2265859,-3.730445246690734
2023-02-10,40300,41150,40150,41100,1465602,2.75
2023-02-13,41150,41650,40650,40800,1443688,-0.7299270072992701
2023-02-14,41000,41200,39400,39450,2034580,-3.308823529411765
2023-02-15,39300,39350,37850,38050,2578534,-3.5487959442332064
2023-02-16,38150,38300,37450,37900,1633018,-0.39421813403416556
2023-02-17,37900,38950,37750,38350,1499760,1.1873350923482848
2023-02-20,38450,38950,38050,38800,790817,1.1734028683181226
2023-02-21,38800,39400,38600,39050,1091989,0.6443298969072164
2023-02-22,38950,39200,38300,38300,1422983,-1.9206145966709345
2023-02-23,38550,39200,38350,38650,1176055,0.9138381201044387
2023-02-24,38400,39250,38350,38750,1357069,0.258732212160414
2023-02-27,38650,39050,38200,38450,1084391,-0.7741935483870968
2023-02-28,38400,39000,38400,38850,1507797,1.0403120936280885
2023-03-02,38500,38850,37600,37700,2032494,-2.9601029601029603
2023-03-03,37700,38050,37050,37050,1495245,-1.7241379310344827
2023-03-06,37150,37400,36600,37050,1613174,0.0
