날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,87200,87600,86300,86400,256377,-0.11560693641618498
2023-01-03,86400,87000,83500,85700,535289,-0.8101851851851851
2023-01-04,84900,89700,84500,89700,582484,4.667444574095683
2023-01-05,89700,90500,89000,89900,372671,0.2229654403567447
2023-01-06,88700,91600,88700,90700,520258,0.8898776418242491
2023-01-09,91600,95500,91600,95100,1246443,4.851157662624035
2023-01-10,94900,95300,93600,95100,583121,0.0
2023-01-11,95300,95800,93800,94800,454625,-0.31545741324921134
2023-01-12,95000,95500,93100,93700,487521,-1.160337552742616
2023-01-13,94100,95300,93600,94200,500644,0.5336179295624333
2023-01-16,94700,95800,92700,94400,458632,0.21231422505307856
2023-01-17,94200,95200,93300,94700,511231,0.31779661016949157
2023-01-18,94700,95600,94200,95200,458888,0.5279831045406547
2023-01-19,94200,97100,94100,96300,601293,1.1554621848739497
2023-01-20,96200,96700,95000,96300,391157,0.0
2023-01-25,97200,97800,96200,96600,403888,0.3115264797507788
2023-01-26,96400,97900,95800,97900,496024,1.3457556935817805
2023-01-27,98100,100000,97500,98100,813280,0.20429009193054137
2023-01-30,100000,101200,98100,100400,1322757,2.344546381243629
2023-01-31,99900,103200,99200,100100,1140938,-0.29880478087649404
2023-02-01,100100,100100,98100,99100,738213,-0.999000999000999
2023-02-02,100100,101500,99000,100900,727164,1.8163471241170535
2023-02-03,101300,102100,100200,100800,493356,-0.09910802775024777
2023-02-06,100900,102900,100000,101600,663779,0.7936507936507936
2023-02-07,101800,103000,101300,102000,568693,0.39370078740157477
2023-02-08,102500,108800,102200,107600,1809917,5.490196078431373
2023-02-09,106600,108800,105000,108000,1189827,0.37174721189591076
2023-02-10,108000,112200,106900,110600,1330878,2.4074074074074074
2023-02-13,110000,110000,105500,107200,907871,-3.074141048824593
2023-02-14,108700,114200,108700,113300,1957756,5.690298507462686
2023-02-15,113600,114200,112400,112800,1108858,-0.44130626654898497
2023-02-16,114000,116400,113200,114000,1080764,1.0638297872340425
2023-02-17,112600,115500,112100,113900,735524,-0.08771929824561403
2023-02-20,114000,115100,112800,113300,730359,-0.5267778753292361
2023-02-21,113200,116100,112600,114000,735027,0.617828773168579
2023-02-22,113000,113800,111000,111100,692730,-2.543859649122807
2023-02-23,112400,117000,112300,114700,1414208,3.2403240324032403
2023-02-24,115000,115700,112400,113400,711338,-1.1333914559721012
2023-02-27,112800,114100,111400,112700,556263,-0.6172839506172839
2023-02-28,113400,113400,110500,111200,666842,-1.3309671694764862
2023-03-02,110600,112400,110600,111400,484235,0.1798561151079137
2023-03-03,112500,113400,109500,110800,475873,-0.5385996409335727
2023-03-06,112000,115500,111100,114500,964347,3.3393501805054155
2023-03-07,114400,115400,112200,114400,748490,-0.08733624454148471
2023-03-08,116200,120600,116200,117500,1731900,2.7097902097902096
2023-03-09,119600,121400,116700,117000,1144788,-0.425531914893617
2023-03-10,115400,118300,114600,115700,858971,-1.1111111111111112
2023-03-13,116000,118500,113600,117500,851620,1.5557476231633534
2023-03-14,116700,117300,111200,111800,1114429,-4.851063829787234
2023-03-15,114600,117800,113200,117400,1133693,5.008944543828265
2023-03-16,116000,119200,115800,117500,916862,0.08517887563884156
2023-03-17,119000,119500,116900,117900,918172,0.3404255319148936
2023-03-20,118200,118500,112900,113900,965943,-3.3927056827820183
2023-03-21,114500,114700,112400,113300,712657,-0.5267778753292361
2023-03-22,115500,116500,113600,114200,756170,0.7943512797881729
2023-03-23,113700,114700,110300,111800,1324425,-2.1015761821366024
2023-03-24,111900,113500,111000,113000,893158,1.073345259391771
2023-03-27,113000,114500,111000,113500,778173,0.4424778761061947
2023-03-28,113000,113100,109000,111800,1263322,-1.4977973568281937
2023-03-29,112900,114500,112700,113700,554609,1.6994633273703041
2023-03-30,114500,115600,113100,113100,570965,-0.5277044854881267
2023-03-31,114100,115700,113800,115300,855187,1.9451812555260832
2023-04-03,116000,116300,113200,113800,713112,-1.3009540329575022
2023-04-04,114300,117200,112800,115900,896834,1.845342706502636
2023-04-05,116700,119700,116100,116800,1010185,0.7765314926660914
2023-04-06,117400,118100,113600,113900,891174,-2.482876712328767
2023-04-07,115500,116100,113800,114300,921786,0.35118525021949076
2023-04-10,115000,115900,112600,113000,1018183,-1.1373578302712162
2023-04-11,113500,114200,112100,112600,1095649,-0.35398230088495575
2023-04-12,112700,114900,112700,114600,1116912,1.7761989342806392
2023-04-13,116000,117500,113500,115300,1275287,0.6108202443280977
