날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,41550,42100,40750,40800,712637,-2.972651605231867
2023-01-03,40900,41800,40100,41700,909855,2.2058823529411766
2023-01-04,41600,43850,41500,43800,1262005,5.0359712230215825
2023-01-05,43300,46950,43300,46950,2604951,7.191780821917808
2023-01-06,46450,49400,46450,48800,2573663,3.940362087326944
2023-01-09,48800,49250,47800,48650,1482858,-0.3073770491803279
2023-01-10,48350,50000,47350,49400,2143084,1.5416238437821173
2023-01-11,49100,49350,47450,47800,1855722,-3.2388663967611335
2023-01-12,48100,48350,47600,48100,1275351,0.6276150627615062
2023-01-13,48300,49500,47500,49500,1539859,2.9106029106029108
2023-01-16,49900,52700,49600,52600,2645389,6.262626262626263
2023-01-17,52600,52900,52000,52200,1754740,-0.7604562737642585
2023-01-18,52200,52300,50500,51100,1913098,-2.10727969348659
2023-01-19,50500,51000,50100,50800,1172213,-0.5870841487279843
2023-01-20,50500,52000,50500,51500,768062,1.3779527559055118
2023-01-25,51500,52500,51400,52400,1098681,1.7475728155339807
2023-01-26,52400,53300,52000,53100,1063573,1.3358778625954197
2023-01-27,53300,53300,51300,51800,2070071,-2.4482109227871938
2023-01-30,51000,51700,50900,51200,1222532,-1.1583011583011582
2023-01-31,51200,51300,48600,48750,2028531,-4.78515625
2023-02-01,48900,49650,48700,49200,1153420,0.9230769230769231
2023-02-02,49350,49350,47550,47650,1621661,-3.1504065040650406
2023-02-03,47400,49250,47150,48600,1544258,1.993704092339979
2023-02-06,47700,48500,47150,47850,1008263,-1.5432098765432098
2023-02-07,47550,48200,47150,48150,968888,0.6269592476489028
2023-02-08,48050,49550,48000,48900,1095702,1.557632398753894
2023-02-09,48900,49350,47700,47850,1184125,-2.147239263803681
2023-02-10,48200,49750,48100,48850,1519914,2.089864158829676
2023-02-13,49050,49800,48300,49000,1081141,0.3070624360286591
2023-02-14,48500,49150,46650,46850,1674738,-4.387755102040816
2023-02-15,46550,46700,44300,44300,2220070,-5.44290288153682
2023-02-16,44800,44800,43300,44400,2780616,0.2257336343115124
2023-02-17,44600,46350,44200,46200,1849029,4.054054054054054
2023-02-20,46300,46650,45600,45850,883308,-0.7575757575757576
2023-02-21,45850,46850,45650,46350,888857,1.0905125408942202
2023-02-22,46350,46400,44750,45000,1134213,-2.912621359223301
2023-02-23,45000,46200,44850,45200,1275731,0.4444444444444444
2023-02-24,44500,46300,44500,45300,825289,0.22123893805309736
2023-02-27,45150,45650,44800,45500,854798,0.44150110375275936
2023-02-28,45500,46050,45250,45400,1168188,-0.21978021978021978
2023-03-02,45400,46000,44500,44700,1236834,-1.5418502202643172
2023-03-03,45000,45250,43950,44000,941138,-1.5659955257270695
2023-03-06,43650,44000,43050,43450,1624588,-1.25
2023-03-07,43300,43950,42550,43800,2025850,0.805523590333717
2023-03-08,43250,43850,43050,43500,1152865,-0.684931506849315
2023-03-09,43500,43650,42800,42800,1909133,-1.6091954022988506
2023-03-10,42200,42800,41750,42250,1491859,-1.2850467289719625
2023-03-13,42000,42850,41550,42700,824463,1.0650887573964496
2023-03-14,41550,41600,40700,41050,1496752,-3.864168618266979
2023-03-15,41750,42650,41400,42000,1173759,2.3142509135200973
2023-03-16,40550,41150,40400,40650,1414819,-3.214285714285714
2023-03-17,41200,42100,40750,41300,1695913,1.5990159901599015
2023-03-20,41250,42200,40700,41300,719744,0.0
2023-03-21,41400,42700,41400,42050,781382,1.8159806295399514
2023-03-22,42600,42600,41450,41550,1144378,-1.1890606420927468
2023-03-23,41150,41950,40950,41950,923510,0.9626955475330927
2023-03-24,41250,41550,40300,40350,1765067,-3.814064362336114
2023-03-27,40400,40600,39800,40100,1006600,-0.6195786864931847
2023-03-28,40700,41200,40450,40750,1330263,1.6209476309226933
2023-03-29,40250,41200,40200,40450,1499233,-0.7361963190184049
2023-03-30,40750,40800,40000,40300,1244700,-0.3708281829419036
2023-03-31,40250,40750,40150,40700,1095218,0.9925558312655087
2023-04-03,40850,40900,40000,40600,741489,-0.2457002457002457
2023-04-04,40750,41200,40300,41200,737655,1.477832512315271
2023-04-05,41200,41550,41000,41200,608712,0.0
