날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,153003,156939,152512,152512,185243,0.6493849321577531
2023-01-03,152019,153495,145132,148084,352851,-2.903378094838439
2023-01-04,145132,148575,141688,147100,286672,-0.6644877231841387
2023-01-05,147591,149067,145132,145624,254789,-1.0033990482664854
2023-01-06,143656,149067,143656,148084,194443,1.6892819864857442
2023-01-09,150543,151035,148084,150052,294582,1.3289754463682775
2023-01-10,150051,151035,145624,146116,549090,-2.623090661903873
2023-01-11,147100,151036,147100,151036,416490,3.367187713871171
2023-01-12,153004,155463,151528,154480,371459,2.2802510659710267
2023-01-13,154972,159891,154972,157432,329227,1.9109269808389437
2023-01-16,157923,158415,153988,154972,371393,-1.5625793993597235
2023-01-17,154971,155463,151036,153004,252924,-1.2699068218775005
2023-01-18,153987,153987,150544,151528,273648,-0.9646806619434786
2023-01-19,149560,153003,149560,152020,188644,0.32469246607887653
2023-01-20,151036,153988,151036,153988,167980,1.294566504407315
2023-01-25,156448,160187,155956,158908,408382,3.1950541600644207
2023-01-26,159104,161859,155955,161761,403513,1.795378457975684
2023-01-27,162843,167762,162154,166779,519886,3.1021074300974893
2023-01-30,166385,166484,160679,161171,344630,-3.3625336523183376
2023-01-31,161170,163630,158907,159498,376891,-1.0380279330648814
2023-02-01,159695,168944,158514,167862,671185,5.243952902230749
2023-02-02,169239,173174,169140,170223,644023,1.406512492404475
2023-02-03,168747,170222,165696,169239,430395,-0.5780652438272149
2023-02-06,167566,171600,165795,168157,403696,-0.6393325415536608
2023-02-07,168451,172190,159990,159990,1580216,-4.856770755900736
2023-02-08,160383,163040,160186,162450,671464,1.5375960997562348
2023-02-09,161466,168846,160580,166091,770218,2.2413050169282855
2023-02-10,164221,165598,162548,164615,428187,-0.8886694643297952
2023-02-13,164811,169534,164811,166386,508188,1.0758436351486802
2023-02-14,167270,167959,164122,164811,414532,-0.946594064404457
2023-02-15,162843,162843,151134,152512,1926317,-7.462487333976495
2023-02-16,153496,159104,153397,157432,969173,3.225975660931599
2023-02-17,154775,158809,153791,157727,478252,0.18738248894760914
2023-02-20,157333,158120,154578,156054,332583,-1.060693476703418
2023-02-21,157628,159990,156940,159400,654100,2.14412959616543
2023-02-22,157923,158907,156152,156251,449007,-1.9755332496863238
2023-02-23,157235,157333,153594,153988,518450,-1.4483107308113228
2023-02-24,153987,154381,152511,152610,379798,-0.8948749253188559
2023-02-27,151626,151626,147592,149462,473671,-2.062774392241662
2023-02-28,150446,150839,147691,147691,607655,-1.1849165674218196
2023-03-02,148773,158415,148084,157924,1099740,6.928655097467009
2023-03-03,159596,161466,156152,158219,642882,0.18679871330513412
2023-03-06,160284,166286,156742,165303,1187155,4.477338372761805
2023-03-07,167074,177012,166484,173962,1704724,5.23825943872767
2023-03-08,171207,171305,165795,168157,797978,-3.336935652613789
2023-03-09,169140,169239,160580,162253,1271658,-3.5110045968945687
2023-03-10,160678,171600,159399,170715,1217813,5.215311889456589
2023-03-13,169042,173666,165893,173273,748073,1.4984037723691532
2023-03-14,171600,171797,166188,167271,569279,-3.4638980106537085
2023-03-15,170222,170222,161367,162548,856040,-2.8235617650399654
2023-03-16,160187,163434,157924,160876,602358,-1.0286192386248985
2023-03-17,162154,162449,158218,159596,572915,-0.7956438499216787
2023-03-20,159497,159792,154774,155857,604013,-2.3427905461289757
2023-03-21,155857,156940,153004,154185,551903,-1.0727782518590758
2023-03-22,156546,159104,153791,158219,711965,2.616337516619645
2023-03-23,156349,158514,155169,156645,606888,-0.9948236305374197
2023-03-24,158317,159596,154282,157038,544109,0.25088576079670594
2023-03-27,159104,166681,158219,164123,1103183,4.5116468625428245
2023-03-28,165302,165794,159005,160580,754306,-2.1587467935633637
2023-03-29,161368,163926,159596,161860,496419,0.7971104745298293
2023-03-30,163925,191771,160481,184195,6199705,13.798962065982948
2023-03-31,180554,182424,174847,176422,1978094,-4.219984255815847
2023-04-03,178586,181735,176323,177111,1202359,0.3905408622507397
2023-04-04,179669,185179,176619,178292,1476621,0.6668134672606445
2023-04-05,178980,179964,175044,176225,762751,-1.159334126040428
2023-04-06,175733,175930,170321,173372,899061,-1.6189530429848207
2023-04-07,173372,184687,171305,180555,1737556,4.143114228364442
2023-04-10,186064,195904,184097,194527,2362834,7.738362271883914
2023-04-11,202693,205645,192952,199742,1631951,2.6808617826831234
2023-04-12,197281,201217,189409,190099,1401335,-4.82772776882178
2023-04-13,185474,189410,183211,188623,938218,-0.7764375404394552
2023-04-14,190394,190492,186261,187344,681169,-0.6780721333029376
2023-04-17,188819,195115,187442,190394,980208,1.628021180288667
2023-04-18,192361,192361,182522,184982,1098850,-2.842526550206414
2023-04-19,185178,186261,183407,184490,547912,-0.2659718242856062
2023-04-20,182522,185375,181538,182424,477103,-1.1198438939779933
2023-04-21,181538,181834,175241,179079,724854,-1.8336403104854626
2023-04-24,176815,178488,175142,176225,439469,-1.5937100385863223
2023-04-25,176815,177110,168451,172289,718251,-2.2335082990495105
2023-04-26,171010,176618,170420,174651,514065,1.3709522952713173
2023-04-27,173174,176224,171403,175733,523483,0.619521216597672
2023-04-28,177996,178587,169042,170322,769578,-3.0791029573273088
2023-05-02,171698,177897,170714,177012,703093,3.9278542995032937
2023-05-03,175831,176323,172781,172978,404015,-2.278941540686507
2023-05-04,172289,179767,170715,176127,796006,1.8204627178022639
2023-05-08,180653,189213,180259,182031,1565500,3.352126590471648
2023-05-09,184588,187637,179373,185966,905947,2.1617197070828595
2023-05-10,183998,184392,177209,177406,692375,-4.602991944764097
2023-05-11,176914,178980,174651,175340,458729,-1.1645603869091237
2023-05-12,174945,177405,173863,174257,303505,-0.6176571233032965
2023-05-15,174257,174454,171502,173175,317648,-0.620921971570726
2023-05-16,174159,175634,172683,174159,305557,0.5682113469034215
2023-05-17,174158,179570,172879,179177,412084,2.8812751566097647
2023-05-18,180455,180554,177110,179472,278429,0.16464166717826506
2023-05-19,180652,180652,174650,174749,492168,-2.6316082731568153
2023-05-22,174749,178095,173765,177800,373711,1.7459327378125198
2023-05-23,178980,183703,178587,181047,633200,1.8262092238470191
2023-05-24,180259,182325,178685,180850,302815,-0.10881152407938272
2023-05-25,181931,185572,180849,182719,606571,1.033453137959635
2023-05-26,181932,181932,178586,179866,317960,-1.5614139744635205
2023-05-30,182522,190295,182129,188820,1050898,4.978150400853969
2023-05-31,186753,189606,186064,186065,691035,-1.459061540091092
2023-06-01,186359,191280,186262,190985,671501,2.6442372289253755
2023-06-02,191476,196002,189508,194822,719856,2.0090583030080893
2023-06-05,196790,199742,193837,196495,459642,0.8587325866688567
2023-06-07,197281,204169,197281,203186,755645,3.405175704216392
2023-06-08,201709,201709,193050,194920,880561,-4.068193674761057
2023-06-09,196790,198757,195412,197282,526170,1.2117791914631644
2023-06-12,198757,200725,196790,197774,389017,0.249389199217364
2023-06-13,197281,198265,192853,196396,629565,-0.6967548818348216
2023-06-14,197773,197773,188623,189804,876179,-3.3564838387747202
2023-06-15,190886,193641,186654,187836,660208,-1.0368590756780678
2023-06-16,188622,189606,184982,185179,663620,-1.4145318256351285
2023-06-19,184588,185769,182817,185474,449134,0.15930532079771464
2023-06-20,184884,184982,180653,181145,641558,-2.334019862622254
2023-06-21,180456,183310,178685,178784,509672,-1.3033757487095974
2023-06-22,178586,181243,177996,179866,397578,0.6051995704313585
2023-06-23,184785,186655,179078,179669,755792,-0.10952598045211437
2023-06-26,166779,170518,163630,168747,1959103,-6.078956302979368
2023-06-27,167370,168747,164024,164615,874002,-2.448636123901462
2023-06-28,164910,165697,158022,158121,998624,-3.944962488230112
2023-06-29,157825,159596,155267,155464,602682,-1.6803587126314659
2023-06-30,155857,157825,155365,155956,453262,0.3164719806514692
2023-07-03,157924,163040,157825,160876,719997,3.154735951165714
2023-07-04,163335,167172,162056,164024,826668,1.9567865934011288
2023-07-05,164123,166681,161958,164615,600383,0.36031312490854994
2023-07-06,165795,166188,162646,163237,487092,-0.8371047595905599
2023-07-07,163336,165992,161564,163336,465930,0.06064801484957455
2023-07-10,164024,164712,160285,160482,545034,-1.7473184111279814
2023-07-11,160679,164221,160580,161860,456019,0.8586632768784038
2023-07-12,162844,164615,161663,163336,443491,0.9118991721240578
2023-07-13,164516,165696,162154,162745,673571,-0.3618308272518
2023-07-14,162449,163236,159005,161072,577736,-1.0279885710774526
2023-07-17,161072,163139,158908,161368,563691,0.18376874937915963
2023-07-18,164515,169632,164024,167763,1260727,3.9629914233305237
2023-07-19,169829,169829,165499,166779,702610,-0.5865417285098621
2023-07-20,167861,179472,167763,170912,1862624,2.4781297405548663
2023-07-21,170616,175438,167566,173864,797132,1.7272046433252202
2023-07-24,175634,196101,175438,193346,3561129,11.205309897391064
2023-07-25,198758,203677,194035,202202,1992729,4.5803895606839555
2023-07-26,205153,225816,188918,201218,4690207,-0.4866420708004866
2023-07-27,200725,200725,181341,183998,2262421,-8.557882495601785
2023-07-28,179570,188622,179275,186458,1407104,1.336971054033196
2023-07-31,193247,216960,193050,212533,2518328,13.984382541912924
2023-08-01,222864,223357,201710,204170,1861469,-3.9349183420927574
2023-08-02,198758,206629,195904,196200,1056028,-3.903609736983886
2023-08-03,197100,212000,194700,206500,1262378,5.249745158002039
2023-08-04,210000,210500,202000,203000,697439,-1.694915254237288
2023-08-07,201000,202500,190500,192400,944265,-5.22167487684729
2023-08-08,194800,196500,188800,191300,712657,-0.5717255717255718
2023-08-09,190000,194500,189500,190800,489700,-0.26136957658128596
2023-08-10,190000,195500,189600,190500,664665,-0.15723270440251574
2023-08-11,191600,192400,188000,190500,402075,0.0
2023-08-14,190500,192200,184200,184200,523143,-3.3070866141732282
2023-08-16,182000,185600,178600,179400,556181,-2.6058631921824107
2023-08-17,177100,180100,174500,179500,517933,0.055741360089186176
2023-08-18,177600,177600,173200,174100,483311,-3.0083565459610027
2023-08-21,174200,179300,174200,176000,337177,1.0913268236645606
2023-08-22,178500,180600,174500,177000,370166,0.5681818181818182
2023-08-23,177600,178000,172800,173500,321459,-1.977401129943503
2023-08-24,173700,176600,171200,174200,359210,0.4034582132564841
2023-08-25,171200,173600,169100,173000,356577,-0.6888633754305395
2023-08-28,174800,177300,173500,177300,333116,2.485549132947977
2023-08-29,178600,179700,175800,176000,289573,-0.7332205301748449
2023-08-30,178900,181700,177200,180000,378932,2.272727272727273
2023-08-31,182800,184100,176600,177500,494683,-1.3888888888888888
2023-09-01,179000,180600,174500,176000,348063,-0.8450704225352111
2023-09-04,174800,180000,174700,179500,334792,1.9886363636363635
2023-09-05,179200,179600,176900,178800,255867,-0.38997214484679665
