날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,1223019,1225963,1209773,1217132,22429,0.7307775705080353
2023-01-03,1214189,1217132,1175923,1181810,48527,-2.9020681405139293
2023-01-04,1177395,1180339,1152375,1168565,49192,-1.1207385281898106
2023-01-05,1174452,1196528,1174452,1189169,34101,1.763188183798077
2023-01-06,1175923,1203886,1174452,1189169,27959,0.0
2023-01-09,1206830,1212717,1190641,1195056,32074,0.49505158644397895
2023-01-10,1200943,1205358,1175923,1175923,44591,-1.6010128395656773
2023-01-11,1184754,1189169,1175923,1181810,45365,0.5006280173106572
2023-01-12,1189169,1202415,1186226,1193584,40959,0.9962684357045549
2023-01-13,1199471,1209773,1193584,1193584,42204,0.0
2023-01-16,1193584,1199471,1186226,1187697,29119,-0.49322041850426945
2023-01-17,1192113,1193584,1167093,1167093,53843,-1.7347858923614357
2023-01-18,1167093,1170036,1156791,1167093,32824,0.0
2023-01-19,1167093,1180339,1161206,1178867,25865,1.0088313442030756
2023-01-20,1172980,1177395,1168565,1177395,23395,-0.1248656549042428
2023-01-25,1177395,1183282,1172980,1174452,31237,-0.24995859503395204
2023-01-26,1174452,1177395,1161206,1170036,58376,-0.37600514963574505
2023-01-27,1168565,1193584,1164149,1190641,56642,1.7610569247441958
2023-01-30,1206830,1221547,1177395,1181810,83342,-0.7417013188694157
2023-01-31,1183282,1184754,1165621,1167093,64292,-1.2452932366454845
2023-02-01,1167093,1184754,1159734,1183282,51000,1.387121677535552
2023-02-02,1186226,1202415,1186226,1195056,43873,0.9950290801347439
2023-02-03,1187697,1200943,1180339,1193584,32093,-0.12317414414052563
2023-02-06,1190641,1203886,1181810,1187697,30975,-0.49322041850426945
2023-02-07,1187697,1200943,1187697,1196528,30497,0.7435398085538651
2023-02-08,1196528,1211245,1193584,1200943,28439,0.3689842611288662
2023-02-09,1200943,1206830,1190641,1198000,28036,-0.24505742570629913
2023-02-10,1190641,1193584,1180339,1189169,23447,-0.7371452420701169
2023-02-13,1189169,1192113,1178867,1187697,21266,-0.12378391969518211
2023-02-14,1189169,1193584,1180339,1184754,27940,-0.24779047181225514
2023-02-15,1184754,1186226,1167093,1168565,48882,-1.3664440044093542
2023-02-16,1172980,1192113,1170036,1190641,31871,1.8891546469387666
2023-02-17,1181810,1184754,1172980,1175923,23235,-1.236140868658143
2023-02-20,1177395,1190641,1167093,1184754,22167,0.7509845457568225
2023-02-21,1178867,1184754,1172980,1177395,25337,-0.6211416040798343
2023-02-22,1167093,1168565,1158262,1159734,34684,-1.5000063699947765
2023-02-23,1162678,1168565,1155319,1161206,25766,0.12692565709033277
2023-02-24,1161206,1162678,1149432,1152375,26612,-0.760502443149622
2023-02-27,1152375,1153847,1128828,1133243,36237,-1.660223451567415
2023-02-28,1134714,1153847,1134714,1137658,35105,0.38958987613424484
2023-03-02,1140601,1152375,1134714,1136186,38001,-0.12938862118492553
2023-03-03,1143545,1164149,1142073,1159734,38427,2.0725479807003433
2023-03-06,1164149,1183282,1164149,1178867,49755,1.6497748621666692
2023-03-07,1178867,1183282,1165621,1168565,34200,-0.8738899299072754
2023-03-08,1156791,1158262,1140601,1143545,47666,-2.141087573220146
2023-03-09,1150904,1150904,1134714,1134714,42066,-0.772247703413508
2023-03-10,1131771,1145017,1118525,1142073,43366,0.6485334630576515
2023-03-13,1143545,1146488,1128828,1145017,31867,0.2577768671529754
2023-03-14,1133243,1155319,1133243,1136186,47281,-0.7712549245993728
2023-03-15,1142073,1149432,1136186,1145017,24726,0.777249499641784
2023-03-16,1136186,1171508,1134714,1162678,40897,1.54242251425088
2023-03-17,1174452,1190641,1172980,1189169,61385,2.278446827066479
2023-03-20,1196528,1209773,1192113,1195056,36808,0.49505158644397895
2023-03-21,1198000,1202415,1184754,1190641,17435,-0.3694387543345249
2023-03-22,1192113,1199471,1184754,1192113,20362,0.12363088454034424
2023-03-23,1192113,1192113,1168565,1174452,28344,-1.4814870737925012
2023-03-24,1170036,1184754,1165621,1172980,19290,-0.12533504987858168
2023-03-27,1172980,1177395,1159734,1172980,32333,0.0
2023-03-28,1177395,1181810,1165621,1172980,58896,0.0
2023-03-29,1172980,1178867,1162678,1164149,41266,-0.7528687616157138
2023-03-30,1161206,1161206,1149432,1150904,43962,-1.1377409592758314
2023-03-31,1150904,1162678,1145017,1159734,40079,0.76722298297686
2023-04-03,1161206,1167093,1143545,1145017,40499,-1.268997890895671
2023-04-04,1147960,1159734,1143545,1159734,30213,1.285308427735134
2023-04-05,1159734,1170036,1149432,1159734,26098,0.0
2023-04-06,1162678,1212717,1162678,1184754,115043,2.1573912638587815
2023-04-07,1183282,1184754,1165621,1171508,41679,-1.1180380062021313
2023-04-10,1171508,1190641,1161206,1181810,41931,0.8793793981773919
2023-04-11,1186226,1205358,1183282,1195056,43345,1.1208231441602288
2023-04-12,1187697,1195056,1175923,1177395,74998,-1.4778386954251514
2023-04-13,1177395,1199471,1175923,1199471,58265,1.8749867291775488
2023-04-14,1206830,1214189,1199471,1202415,54786,0.24544153214208597
2023-04-17,1202415,1203886,1186226,1195056,28437,-0.612018313144796
2023-04-18,1187697,1187697,1162678,1167093,56640,-2.3398903482347273
2023-04-19,1171508,1171508,1152375,1159734,42019,-0.630541010870599
2023-04-20,1159734,1162678,1149432,1155319,40958,-0.3806907446017794
2023-04-21,1155319,1161206,1149432,1155319,23449,0.0
2023-04-24,1164149,1177395,1155319,1172980,44265,1.5286687053532402
2023-04-25,1183282,1183282,1152375,1156791,44456,-1.380159934525738
2023-04-26,1158262,1162678,1149432,1152375,33186,-0.3817457086025047
2023-04-27,1147960,1150904,1128828,1145017,46699,-0.6385074303069748
2023-04-28,1140601,1158262,1140601,1149432,35029,0.38558379482575367
2023-05-02,1118525,1146488,1112638,1128828,68649,-1.7925375315808154
2023-05-03,1128828,1140601,1122941,1140601,35724,1.0429401113367138
2023-05-04,1134714,1175923,1134714,1172980,98156,2.8387665800748905
2023-05-08,1175923,1183282,1158262,1159734,42004,-1.1292605159508262
2023-05-09,1161206,1172980,1156791,1159734,29628,0.0
2023-05-10,1162678,1164149,1143545,1147960,26571,-1.0152328033842244
2023-05-11,1152375,1161206,1147960,1152375,27922,0.3845952820655772
2023-05-12,1152375,1155319,1140601,1149432,19663,-0.2553856166612431
2023-05-15,1142073,1162678,1142073,1161206,26996,1.0243320179010154
2023-05-16,1152375,1168565,1152375,1162678,16662,0.1267647600856351
2023-05-17,1152375,1162678,1152375,1158262,10108,-0.37981281145768647
2023-05-18,1159734,1162678,1146488,1147960,25225,-0.8894360688687016
2023-05-19,1143545,1150904,1142073,1146488,23258,-0.1282274643715809
2023-05-22,1147960,1162678,1147960,1158262,26033,1.0269623406437747
2023-05-23,1162678,1165621,1159734,1165621,29174,0.6353484790142472
2023-05-24,1161206,1167093,1155319,1165621,22480,0.0
2023-05-25,1159734,1165621,1146488,1146488,24416,-1.641442630151653
2023-05-26,1145017,1150904,1137658,1143545,18194,-0.256696973714509
2023-05-30,1146488,1150904,1140601,1145017,24816,0.12872252513018725
2023-05-31,1143545,1158262,1142073,1153847,50164,0.7711675896515073
2023-06-01,1159734,1167093,1145017,1159734,36688,0.5102062925153855
2023-06-02,1171508,1171508,1152375,1155319,27381,-0.3806907446017794
2023-06-05,1156791,1159734,1147960,1155319,22247,0.0
2023-06-07,1167093,1168565,1152375,1156791,37371,0.1274106978245835
2023-06-08,1164149,1165621,1150904,1155319,38593,-0.12724856953416824
2023-06-09,1162678,1192113,1161206,1178867,106901,2.038224940470987
2023-06-12,1181810,1183282,1167093,1170036,41227,-0.7491091022142446
2023-06-13,1177395,1183282,1156791,1156791,42980,-1.1320164507758734
2023-06-14,1159734,1161206,1152375,1153847,32192,-0.2544971390683365
2023-06-15,1155319,1161206,1143545,1145017,33967,-0.7652661054715226
2023-06-16,1147960,1152375,1136186,1140601,65777,-0.38567112977361906
2023-06-19,1140601,1146488,1136186,1139130,26712,-0.12896709717070212
2023-06-20,1136186,1137658,1130299,1131771,37219,-0.6460193305417292
2023-06-21,1128828,1130299,1112638,1114110,47646,-1.5604746896677861
2023-06-22,1112638,1121469,1108223,1112638,33554,-0.13212339894624409
2023-06-23,1118525,1121469,1097921,1099393,51532,-1.190414132898571
2023-06-26,1099393,1119997,1089090,1118525,29903,1.740233019493484
2023-06-27,1111167,1117054,1099393,1100864,30588,-1.5789544265885875
2023-06-28,1106751,1108223,1092034,1092034,27837,-0.8020972617871054
2023-06-29,1090562,1111167,1090562,1100864,29168,0.8085828829505308
2023-06-30,1100864,1108223,1090562,1094977,30633,-0.5347617871054008
2023-07-03,1096449,1100864,1090562,1093506,42696,-0.13434072131195451
2023-07-04,1103808,1109695,1096449,1097921,46592,0.40374721309256645
2023-07-05,1111167,1130299,1109695,1111167,54673,1.2064620314212045
2023-07-06,1111167,1112638,1093506,1102336,33502,-0.7947500240737891
2023-07-07,1096449,1102336,1052297,1058184,85016,-4.005312354853693
2023-07-10,1058184,1062599,1034636,1041995,56246,-1.5298851617488074
2023-07-11,1050825,1080260,1049353,1064071,43664,2.118628208388716
2023-07-12,1062599,1075845,1047882,1074373,50129,0.9681684774794164
2023-07-13,1086147,1103808,1083203,1100864,60871,2.4657172136678787
2023-07-14,1105280,1105280,1087619,1094977,43817,-0.5347617871054008
2023-07-17,1094977,1094977,1080260,1083203,30133,-1.0752737272107085
2023-07-18,1080260,1087619,1068486,1077316,27901,-0.5434807695325807
2023-07-19,1077316,1096449,1077316,1090562,32313,1.229537108889128
2023-07-20,1087619,1093506,1074373,1084675,27358,-0.5398134173022716
2023-07-21,1075845,1118525,1075845,1100864,69287,1.4925208011616382
2023-07-24,1100864,1102336,1084675,1092034,39335,-0.8020972617871054
2023-07-25,1086147,1099393,1080260,1081732,33562,-0.9433772208557609
2023-07-26,1077316,1086147,1052297,1069958,69154,-1.088439650486442
2023-07-27,1094977,1167093,1087619,1164149,209846,8.803242744107713
2023-07-28,1164149,1164149,1139130,1153847,64176,-0.8849382682113716
2023-07-31,1155319,1156791,1119997,1127356,64870,-2.2958849830176793
2023-08-01,1140601,1184754,1137658,1180339,116291,4.699757663062954
2023-08-02,1180339,1183282,1155319,1161206,51983,-1.6209749910830702
2023-08-03,1170036,1192113,1161206,1187697,88516,2.2813350947204887
2023-08-04,1189169,1195056,1165621,1171508,39455,-1.363058086363778
2023-08-07,1168565,1186226,1162678,1167093,37043,-0.3768646906380494
2023-08-08,1171508,1177395,1155319,1162678,27862,-0.3782903333324765
2023-08-09,1159734,1184754,1158262,1174452,33643,1.0126621472153081
2023-08-10,1164149,1180339,1162678,1180339,27506,0.5012550534206591
